date,age_0d_1d,age_1d_1w,age_1w_1m,age_1m_3m,age_3m_6m,age_6m_1y,age_1y_2y,age_2y_3y,age_3y_4y,age_4y_5y,age_5y_7y,age_7y_10y,age_10y
2011-03-25,51782.4,126579.2,909068.8,1029894.4,736460.8,1116198.4,1311820.8,477548.8,0.0,0.0,0.0,0.0,0.0
2011-03-26,74886.5,144012.5,875596.0,1036890.0,725823.0,1111776.5,1307633.5,483882.0,0.0,0.0,0.0,0.0,0.0
2011-03-27,57676.5,173029.5,870915.15,1020874.05,720956.25,1124691.75,1309256.55,490250.25,0.0,0.0,0.0,0.0,0.0
2011-03-28,40432.35,196385.7,866407.5,1028136.9,716230.2,1132105.8,1311163.35,490964.25,0.0,0.0,0.0,0.0,0.0
2011-03-29,34705.2,202447.0,844493.2,1052724.4,717240.8,1127919.0,1307229.2,497441.2,0.0,0.0,0.0,0.0,0.0
2011-03-30,46336.0,185344.0,822464.0,1088896.0,718208.0,1123648.0,1308992.0,503904.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,52218.45,162457.4,655631.65,1276451.0,707850.1,1131399.75,1311263.3,504778.35,0.0,0.0,0.0,0.0,0.0
2011-04-01,29054.25,180136.35,499733.1,1441090.8,708923.7,1133115.75,1307441.25,511354.8,0.0,0.0,0.0,0.0,0.0
2011-04-02,52378.65,139676.4,517966.65,1443322.8,710021.7,1134870.75,1309466.25,517966.65,0.0,0.0,0.0,0.0,0.0
2011-04-03,29143.0,163200.8,512916.8,1451321.4,705260.6,1136577.0,1305606.4,524574.0,0.0,0.0,0.0,0.0,0.0
2011-04-04,64212.5,140100.0,525375.0,1447700.0,700500.0,1126637.5,1307600.0,525375.0,0.0,0.0,0.0,0.0,0.0
2011-04-05,58472.0,163721.6,508706.4,1455952.8,701664.0,1122662.4,1303925.6,532095.2,0.0,0.0,0.0,0.0,0.0
2011-04-06,35127.6,181492.6,503495.6,1469504.6,696697.4,1118228.6,1305575.8,538623.2,0.0,0.0,0.0,0.0,0.0
2011-04-07,35171.7,175858.5,509989.65,1465487.5,703434.0,1119632.45,1307214.85,545161.35,0.0,0.0,0.0,0.0,0.0
2011-04-08,58702.5,170237.25,504841.5,1444081.5,710300.25,1121217.75,1309065.75,551803.5,0.0,0.0,0.0,0.0,0.0
2011-04-09,47024.4,164585.4,529024.5,1446000.3,717122.1,1122707.55,1304927.1,552536.7,0.0,0.0,0.0,0.0,0.0
2011-04-10,35320.2,182487.7,523916.3,1436354.8,718177.4,1130246.4,1295074.0,565123.2,0.0,0.0,0.0,0.0,0.0
2011-04-11,41263.95,153266.1,530536.5,1450133.1,725066.55,1120021.5,1302761.85,571800.45,0.0,0.0,0.0,0.0,0.0
2011-04-12,64933.0,135769.0,495852.0,1493459.0,720166.0,1121570.0,1298660.0,578494.0,0.0,0.0,0.0,0.0,0.0
2011-04-13,59127.0,159642.9,396150.9,1566865.5,733174.8,1117500.3,1300794.0,579444.6,0.0,0.0,0.0,0.0,0.0
2011-04-14,82889.8,159858.9,361162.7,1568985.5,751928.9,1119012.3,1296633.3,586149.3,0.0,0.0,0.0,0.0,0.0
2011-04-15,59275.0,195607.5,349722.5,1570787.5,752792.5,1114370.0,1292195.0,592750.0,0.0,0.0,0.0,0.0,0.0
2011-04-16,65297.65,201829.1,338360.55,1573079.75,759827.2,1110060.05,1288144.55,599551.15,0.0,0.0,0.0,0.0,0.0
2011-04-17,107012.7,184299.65,315092.95,1557629.3,778814.65,1111743.05,1290097.55,600460.15,0.0,0.0,0.0,0.0,0.0
2011-04-18,83335.7,232149.45,321437.7,1523852.8,785736.6,1107174.3,1291703.35,607160.1,0.0,0.0,0.0,0.0,0.0
2011-04-19,143046.0,190728.0,309933.0,1519863.75,786753.0,1114566.75,1287414.0,613905.75,0.0,0.0,0.0,0.0,0.0
2011-04-20,149186.25,190958.4,298372.5,1515732.3,787703.4,1115913.15,1288969.2,620614.8,0.0,0.0,0.0,0.0,0.0
2011-04-21,77672.4,286790.4,286790.4,1505649.6,788673.6,1111312.8,1284582.0,627354.0,0.0,0.0,0.0,0.0,0.0
2011-04-22,107704.8,305163.6,287212.8,1459998.4,789835.2,1100982.4,1298441.2,628278.0,0.0,0.0,0.0,0.0,0.0
2011-04-23,101867.4,341555.4,281633.4,1438128.0,796962.6,1108557.0,1288323.0,635173.2,0.0,0.0,0.0,0.0,0.0
2011-04-24,66003.3,348017.4,324016.2,1434071.7,774038.7,1122056.1,1296064.8,642032.1,0.0,0.0,0.0,0.0,0.0
