date,nvtRatio
2014-12-25,0.748449
2014-12-26,0.932722
2014-12-27,0.983367
2014-12-28,0.948915
2014-12-29,0.813336
2014-12-30,0.595507
2014-12-31,0.711184
2015-01-01,1.40113
2015-01-02,0.900957
2015-01-03,0.719509
2015-01-04,0.559834
2015-01-05,0.584847
2015-01-06,0.584838
2015-01-07,0.545124
2015-01-08,0.443942
2015-01-09,0.530917
2015-01-10,0.66944
2015-01-11,0.518885
2015-01-12,0.638222
2015-01-13,0.354633
2015-01-14,0.250501
2015-01-15,0.262657
2015-01-16,0.338978
2015-01-17,0.59272
2015-01-18,0.700904
2015-01-19,0.6792
2015-01-20,0.47846
2015-01-21,0.500662
2015-01-22,0.563
2015-01-23,0.665149
2015-01-24,0.593172
2015-01-25,0.739605
2015-01-26,0.308712
2015-01-27,0.590284
2015-01-28,0.680851
2015-01-29,0.699262
2015-01-30,0.79927
2015-01-31,3.49175
2015-02-01,2.032922
2015-02-02,2.058346
2015-02-03,5.066309
2015-02-04,1.468081
2015-02-05,2.648754
2015-02-06,6.289214
2015-02-07,2.649671
2015-02-08,2.865425
2015-02-09,0.748217
2015-02-10,0.788211
2015-02-11,0.742174
2015-02-12,0.893165
2015-02-13,0.637492
2015-02-14,0.969396
2015-02-15,0.838676
2015-02-16,0.886377
2015-02-17,0.835253
2015-02-18,0.755895
2015-02-19,0.93111
2015-02-20,0.833103
2015-02-21,1.071813
2015-02-22,1.370119
2015-02-23,0.802366
2015-02-24,0.902431
2015-02-25,0.794404
2015-02-26,0.571272
2015-02-27,0.443982
2015-02-28,1.061503
2015-03-01,0.541
2015-03-02,0.363594
2015-03-03,0.608228
2015-03-04,0.718829
2015-03-05,0.622683
2015-03-06,0.802495
2015-03-07,0.586665
2015-03-08,0.292206
2015-03-09,0.602079
2015-03-10,0.58273
2015-03-11,0.752264
2015-03-12,0.627084
2015-03-13,0.688587
2015-03-14,0.824854
2015-03-15,1.156479
2015-03-16,0.705885
2015-03-17,0.8318
2015-03-18,0.411877
2015-03-19,0.6153
2015-03-20,0.806073
2015-03-21,1.033299
2015-03-22,1.388574
2015-03-23,0.74671
2015-03-24,0.675475
2015-03-25,0.629437
2015-03-26,0.677752
2015-03-27,0.663375
2015-03-28,1.064361
2015-03-29,1.193793
2015-03-30,0.786567
2015-03-31,0.788059
2015-04-01,0.632552
2015-04-02,0.875787
2015-04-03,0.912949
2015-04-04,1.456051
2015-04-05,1.509884
2015-04-06,0.898683
2015-04-07,0.843171
2015-04-08,0.723503
2015-04-09,0.760986
2015-04-10,0.661465
2015-04-11,1.079396
2015-04-12,1.404502
2015-04-13,0.705436
2015-04-14,0.680539
2015-04-15,0.841814
2015-04-16,0.597667
2015-04-17,0.585377
2015-04-18,0.876616
2015-04-19,0.667066
2015-04-20,0.520984
2015-04-21,0.563573
2015-04-22,0.518223
2015-04-23,0.603653
2015-04-24,0.546724
2015-04-25,0.723748
2015-04-26,0.628884
2015-04-27,0.530727
2015-04-28,0.529568
2015-04-29,0.543706
2015-04-30,0.590163
2015-05-01,0.564353
2015-05-02,0.835698
2015-05-03,0.863556
2015-05-04,0.559459
2015-05-05,0.583958
2015-05-06,0.583018
2015-05-07,0.551987
2015-05-08,0.65567
2015-05-09,0.789889
2015-05-10,0.727688
2015-05-11,0.5982
2015-05-12,0.672378
2015-05-13,0.61703
2015-05-14,0.67986
2015-05-15,0.751396
2015-05-16,0.92453
2015-05-17,1.141119
2015-05-18,0.748743
2015-05-19,0.594997
2015-05-20,0.654534
2015-05-21,0.753436
2015-05-22,0.556614
2015-05-23,0.748047
2015-05-24,0.990943
2015-05-25,0.754082
2015-05-26,0.707587
2015-05-27,0.618616
2015-05-28,0.708295
2015-05-29,0.66407
2015-05-30,0.786883
2015-05-31,0.758405
2015-06-01,0.467935
2015-06-02,0.507599
2015-06-03,0.525568
2015-06-04,0.576693
2015-06-05,0.499123
2015-06-06,0.680038
2015-06-07,0.728787
2015-06-08,0.647663
2015-06-09,0.565347
2015-06-10,0.552469
2015-06-11,0.573823
2015-06-12,0.532086
2015-06-13,0.696545
2015-06-14,0.556116
2015-06-15,0.495731
2015-06-16,0.40553
2015-06-17,0.384539
2015-06-18,0.503407
2015-06-19,0.391009
2015-06-20,0.676061
2015-06-21,0.759266
2015-06-22,0.66917
2015-06-23,0.641921
2015-06-24,0.642119
2015-06-25,0.785261
2015-06-26,0.494807
2015-06-27,0.606335
2015-06-28,0.909923
2015-06-29,0.574176
2015-06-30,0.454787
2015-07-01,0.578526
2015-07-02,0.559793
2015-07-03,0.609786
2015-07-04,0.832975
2015-07-05,0.6842
2015-07-06,0.500542
2015-07-07,0.610839
2015-07-08,0.609272
2015-07-09,0.582298
2015-07-10,0.425163
2015-07-11,0.610981
2015-07-12,0.629294
2015-07-13,0.568316
2015-07-14,0.594637
2015-07-15,0.604449
2015-07-16,0.551898
2015-07-17,0.667273
2015-07-18,0.865427
2015-07-19,1.070213
2015-07-20,0.791367
2015-07-21,0.738342
2015-07-22,0.75791
2015-07-23,0.702048
2015-07-24,0.667565
2015-07-25,1.049887
2015-07-26,1.353487
2015-07-27,0.809641
2015-07-28,0.668263
2015-07-29,0.727019
2015-07-30,0.78813
2015-07-31,0.796516
2015-08-01,1.044095
2015-08-02,1.285842
2015-08-03,0.795117
2015-08-04,0.703593
2015-08-05,0.666041
2015-08-06,0.719182
2015-08-07,0.742677
2015-08-08,0.640015
2015-08-09,0.689358
2015-08-10,0.679804
2015-08-11,0.732736
2015-08-12,0.621152
2015-08-13,0.578981
2015-08-14,0.613892
2015-08-15,0.804384
2015-08-16,0.779314
2015-08-17,0.559684
2015-08-18,0.397625
2015-08-19,0.506111
2015-08-20,0.541959
2015-08-21,0.599286
2015-08-22,0.67252
2015-08-23,0.821037
2015-08-24,0.408643
2015-08-25,0.429489
2015-08-26,0.545718
2015-08-27,0.57206
2015-08-28,0.523084
2015-08-29,0.904942
2015-08-30,1.107058
2015-08-31,0.685674
2015-09-01,0.606317
2015-09-02,0.625754
2015-09-03,0.709795
2015-09-04,0.794535
2015-09-05,0.973928
2015-09-06,0.921456
2015-09-07,0.867646
2015-09-08,0.640799
2015-09-09,0.676373
2015-09-10,0.652993
2015-09-11,0.74136
2015-09-12,1.140516
2015-09-13,1.058304
2015-09-14,0.721276
2015-09-15,0.692624
2015-09-16,0.640726
2015-09-17,0.714195
2015-09-18,0.71887
2015-09-19,0.843962
2015-09-20,1.011283
2015-09-21,0.569914
2015-09-22,0.623723
2015-09-23,0.73301
2015-09-24,0.777376
2015-09-25,0.680067
2015-09-26,0.911891
2015-09-27,1.237516
2015-09-28,0.635832
2015-09-29,0.550591
2015-09-30,0.664613
2015-10-01,0.597838
2015-10-02,0.548691
2015-10-03,0.944903
2015-10-04,1.092741
2015-10-05,0.699774
2015-10-06,0.554555
2015-10-07,0.648856
2015-10-08,0.471222
2015-10-09,0.74852
2015-10-10,0.804113
2015-10-11,0.990077
2015-10-12,0.676979
2015-10-13,0.578301
2015-10-14,0.568441
2015-10-15,0.487938
2015-10-16,0.530453
2015-10-17,0.643579
2015-10-18,0.894073
2015-10-19,0.658875
2015-10-20,0.630498
2015-10-21,0.692434
2015-10-22,0.628654
2015-10-23,0.678112
2015-10-24,0.73042
2015-10-25,0.681647
2015-10-26,0.639661
2015-10-27,0.541937
2015-10-28,0.494605
2015-10-29,0.429132
2015-10-30,0.390545
2015-10-31,0.521196
2015-11-01,0.594963
2015-11-02,0.419176
2015-11-03,0.285743
2015-11-04,0.086166
2015-11-05,0.262392
2015-11-06,0.362516
2015-11-07,0.447082
2015-11-08,0.507362
2015-11-09,0.334101
2015-11-10,0.322321
2015-11-11,0.297689
2015-11-12,0.349342
2015-11-13,0.364752
2015-11-14,0.331437
2015-11-15,0.461245
2015-11-16,0.399036
2015-11-17,0.535658
2015-11-18,0.574605
2015-11-19,0.501286
2015-11-20,0.470372
2015-11-21,0.707675
2015-11-22,0.912064
2015-11-23,0.77659
2015-11-24,0.725566
2015-11-25,0.566587
2015-11-26,0.509422
2015-11-27,0.484685
2015-11-28,0.539279
2015-11-29,0.788142
2015-11-30,0.429325
2015-12-01,0.419079
2015-12-02,0.389683
2015-12-03,0.50626
2015-12-04,0.399737
2015-12-05,0.224746
2015-12-06,0.192047
2015-12-07,0.336328
2015-12-08,0.378756
2015-12-09,0.271785
2015-12-10,0.33095
2015-12-11,0.302248
2015-12-12,0.324449
2015-12-13,0.20688
2015-12-14,0.225826
2015-12-15,0.254749
2015-12-16,0.245776
2015-12-17,0.262987
2015-12-18,0.272199
2015-12-19,0.283115
2015-12-20,0.271506
2015-12-21,0.208708
2015-12-22,0.229111
2015-12-23,0.250209
2015-12-24,0.238246
2015-12-25,0.285691
2015-12-26,0.396203
2015-12-27,0.783575
2015-12-28,0.518772
2015-12-29,0.532601
2015-12-30,0.488128
2015-12-31,0.987137
2016-01-01,1.19209
2016-01-02,1.09574
2016-01-03,1.26821
2016-01-04,1.069879
2016-01-05,0.818861
2016-01-06,0.847712
2016-01-07,0.724936
2016-01-08,0.950822
2016-01-09,1.338352
2016-01-10,0.991864
2016-01-11,0.625887
2016-01-12,0.861481
2016-01-13,0.814879
2016-01-14,0.923582
2016-01-15,0.589082
2016-01-16,0.807386
2016-01-17,0.109246
2016-01-18,0.120865
2016-01-19,0.127229
2016-01-20,0.301774
2016-01-21,0.217185
2016-01-22,0.146853
2016-01-23,0.038148
2016-01-24,0.017592
2016-01-25,0.065973
2016-01-26,0.111346
2016-01-27,0.083893
2016-01-28,0.189016
2016-01-29,0.163972
2016-01-30,0.34349
2016-01-31,0.677305
2016-02-01,0.223426
2016-02-02,0.317946
2016-02-03,0.781478
2016-02-04,0.516679
2016-02-05,0.35919
2016-02-06,0.414313
2016-02-07,0.430557
2016-02-08,0.500204
2016-02-09,0.603124
2016-02-10,0.511408
2016-02-11,0.507349
2016-02-12,0.508972
2016-02-13,0.525871
2016-02-14,0.497529
2016-02-15,0.3474
2016-02-16,0.348672
2016-02-17,0.345366
2016-02-18,0.35812
2016-02-19,0.288937
2016-02-20,0.342648
2016-02-21,0.331494
2016-02-22,0.315241
2016-02-23,0.348562
2016-02-24,0.387824
2016-02-25,0.459547
2016-02-26,0.443658
2016-02-27,0.564113
2016-02-28,0.169377
2016-02-29,0.144476
2016-03-01,0.129674
2016-03-02,0.245897
2016-03-03,0.409082
2016-03-04,0.188549
2016-03-05,0.073262
2016-03-06,0.725898
2016-03-07,0.508806
2016-03-08,0.631762
2016-03-09,0.712818
2016-03-10,0.605394
2016-03-11,0.623732
2016-03-12,0.798712
2016-03-13,0.907292
2016-03-14,0.617416
2016-03-15,0.468657
2016-03-16,0.11207
2016-03-17,0.187445
2016-03-18,0.284858
2016-03-19,0.689011
2016-03-20,0.853945
2016-03-21,0.749965
2016-03-22,0.6862
2016-03-23,0.740177
2016-03-24,0.66574
2016-03-25,0.727893
2016-03-26,1.02345
2016-03-27,0.903783
2016-03-28,0.741847
2016-03-29,0.731601
2016-03-30,0.766826
2016-03-31,0.714353
2016-04-01,0.721664
2016-04-02,0.895223
2016-04-03,1.015369
2016-04-04,0.748423
2016-04-05,0.709469
2016-04-06,0.668024
2016-04-07,0.588442
2016-04-08,0.588072
2016-04-09,0.723432
2016-04-10,0.814951
2016-04-11,0.639181
2016-04-12,0.470979
2016-04-13,0.51064
2016-04-14,0.558477
2016-04-15,0.435434
2016-04-16,0.544887
2016-04-17,0.633158
2016-04-18,0.41974
2016-04-19,0.459572
2016-04-20,0.416095
2016-04-21,0.339724
2016-04-22,0.319943
2016-04-23,0.501112
2016-04-24,0.77317
2016-04-25,0.625367
2016-04-26,0.619739
2016-04-27,0.660319
2016-04-28,0.643694
2016-04-29,0.691261
2016-04-30,0.9034
2016-05-01,0.923514
2016-05-02,0.701672
2016-05-03,0.766186
2016-05-04,0.761757
2016-05-05,0.805315
2016-05-06,0.763812
2016-05-07,0.923128
2016-05-08,1.081122
2016-05-09,0.853714
2016-05-10,0.782855
2016-05-11,0.699827
2016-05-12,0.773507
2016-05-13,0.687912
2016-05-14,0.924877
2016-05-15,0.874361
2016-05-16,0.657571
2016-05-17,0.66177
2016-05-18,0.796508
2016-05-19,0.68277
2016-05-20,0.847717
2016-05-21,1.141146
2016-05-22,1.186915
2016-05-23,0.854967
2016-05-24,0.726542
2016-05-25,0.547135
2016-05-26,0.514465
2016-05-27,0.445465
2016-05-28,0.530626
2016-05-29,0.680528
2016-05-30,0.822597
2016-05-31,0.72112
2016-06-01,0.795773
2016-06-02,0.79912
2016-06-03,0.993343
2016-06-04,1.252171
2016-06-05,1.016273
2016-06-06,0.959697
2016-06-07,0.880999
2016-06-08,0.946825
2016-06-09,0.898564
2016-06-10,0.823982
2016-06-11,1.041438
2016-06-12,0.705758
2016-06-13,0.705729
2016-06-14,0.805798
2016-06-15,0.842416
2016-06-16,0.707045
2016-06-17,0.68494
2016-06-18,0.821177
2016-06-19,0.962528
2016-06-20,0.677406
2016-06-21,0.65831
2016-06-22,0.654955
2016-06-23,0.651593
2016-06-24,0.699298
2016-06-25,0.898531
2016-06-26,1.053903
2016-06-27,0.924794
2016-06-28,1.040971
2016-06-29,0.989079
2016-06-30,0.966545
2016-07-01,0.973675
2016-07-02,0.935163
2016-07-03,1.103364
2016-07-04,0.76938
2016-07-05,0.956353
2016-07-06,0.976345
2016-07-07,0.699494
2016-07-08,0.889014
2016-07-09,1.044783
2016-07-10,1.310457
2016-07-11,0.893052
2016-07-12,0.867669
2016-07-13,0.870139
2016-07-14,0.954653
2016-07-15,0.597929
2016-07-16,1.017438
2016-07-17,0.991004
2016-07-18,0.888003
2016-07-19,0.798261
2016-07-20,0.820753
2016-07-21,0.924315
2016-07-22,0.82956
2016-07-23,1.113403
2016-07-24,1.112236
2016-07-25,1.063809
2016-07-26,0.895418
2016-07-27,0.825149
2016-07-28,0.842798
2016-07-29,0.973709
2016-07-30,1.106196
2016-07-31,1.102243
2016-08-01,1.190112
2016-08-02,0.545802
2016-08-03,0.88257
2016-08-04,0.713032
2016-08-05,0.93472
2016-08-06,1.427404
2016-08-07,1.135462
2016-08-08,1.077773
2016-08-09,0.956762
2016-08-10,0.98159
2016-08-11,0.940931
2016-08-12,1.110831
2016-08-13,1.045496
2016-08-14,1.237412
2016-08-15,1.034457
2016-08-16,0.793247
2016-08-17,1.076262
2016-08-18,0.926995
2016-08-19,0.907373
2016-08-20,1.039306
2016-08-21,1.613945
2016-08-22,1.096071
2016-08-23,1.035572
2016-08-24,1.028593
2016-08-25,1.016919
2016-08-26,1.039578
2016-08-27,1.473993
2016-08-28,1.678309
2016-08-29,1.268922
2016-08-30,1.201378
2016-08-31,1.228043
2016-09-01,1.225955
2016-09-02,1.376989
2016-09-03,1.728812
2016-09-04,1.897226
2016-09-05,1.274986
2016-09-06,1.380871
