date,exchangeInflowBtc
2016-02-24,57941.09606383
2016-02-25,55197.90772467
2016-02-26,71945.50424782
2016-02-27,40720.20666432
2016-02-28,49210.11398974
2016-02-29,68976.42459696
2016-03-01,128129.87063993
2016-03-02,75688.30920717
2016-03-03,78458.15733591
2016-03-04,60413.3152125
2016-03-05,90883.69301913
2016-03-06,47012.62131062
2016-03-07,61444.23812601
2016-03-08,53968.9654393
2016-03-09,51708.78098935
2016-03-10,43597.61830228
2016-03-11,48948.9799143
2016-03-12,50121.60333215
2016-03-13,36509.42801131
2016-03-14,60606.62298346
2016-03-15,57621.39793612
2016-03-16,60621.60654771
2016-03-17,50229.49024987
2016-03-18,60471.43200046
2016-03-19,34287.95722787
2016-03-20,42082.4958815
2016-03-21,41871.16288163
2016-03-22,45020.82477451
2016-03-23,37662.46799423
2016-03-24,44971.65289792
2016-03-25,38256.00832319
2016-03-26,24570.83792558
2016-03-27,32279.98578191
2016-03-28,38154.23035955
2016-03-29,34713.79031041
2016-03-30,44652.69747263
2016-03-31,44736.91967352
2016-04-01,44354.77671668
2016-04-02,30349.87515192
2016-04-03,29526.88915852
2016-04-04,36314.1875006
2016-04-05,44486.16290953
2016-04-06,37203.02221951
2016-04-07,50033.35356337
2016-04-08,47640.29989912
2016-04-09,37507.01252284
2016-04-10,43279.80232528
2016-04-11,35503.66208561
2016-04-12,46520.98047625
2016-04-13,43745.47543852
2016-04-14,29960.70432648
2016-04-15,42397.22491144
2016-04-16,21173.33931754
2016-04-17,27994.01894637
2016-04-18,36446.26836029
2016-04-19,37378.44658266
2016-04-20,41594.73333894
2016-04-21,40877.53998193
2016-04-22,46658.22772381
2016-04-23,34392.33985261
2016-04-24,34222.70179962
2016-04-25,44981.72763327
2016-04-26,46506.26150805
2016-04-27,46559.59221234
2016-04-28,48141.9960052
2016-04-29,40811.76831112
2016-04-30,36288.49625373
2016-05-01,31519.81532157
2016-05-02,35773.01709513
2016-05-03,39746.48282392
2016-05-04,37077.78023364
2016-05-05,46163.02310528
2016-05-06,36969.36094849
2016-05-07,25496.1906014
2016-05-08,20837.68666925
2016-05-09,40766.1886537
2016-05-10,47336.25452535
2016-05-11,39550.13914203
2016-05-12,46931.85180169
2016-05-13,52656.92573353
2016-05-14,34170.24713207
2016-05-15,27850.81356307
2016-05-16,34448.15675793
2016-05-17,83777.97769284
2016-05-18,57605.16923593
2016-05-19,61594.52210167
2016-05-20,60118.24888089
2016-05-21,34448.11015351
2016-05-22,31286.60708568
2016-05-23,54879.3153971
2016-05-24,64818.93847103
2016-05-25,64511.02772096
2016-05-26,61288.04133336
2016-05-27,121312.69950655
2016-05-28,96978.62802253
2016-05-29,68619.02709243
2016-05-30,59087.58040678
2016-05-31,86289.39043067
2016-06-01,69873.68390768
2016-06-02,44143.14270828
2016-06-03,47246.35352284
2016-06-04,38990.56152116
2016-06-05,42376.32575075
2016-06-06,38735.84714296
2016-06-07,52133.08156552
2016-06-08,46501.52102558
2016-06-09,96929.99128351
2016-06-10,55755.12007199
2016-06-11,51292.03251574
2016-06-12,80131.40305241
2016-06-13,86568.90667691
2016-06-14,70285.26561272
2016-06-15,79579.49785355
2016-06-16,82642.70332307
2016-06-17,83482.06723264
2016-06-18,50355.35692596
2016-06-19,31508.57154599
2016-06-20,53245.44894848
2016-06-21,95524.53564284
2016-06-22,106674.11910048
2016-06-23,77944.35975091
2016-06-24,56046.79604542
2016-06-25,44188.11737171
2016-06-26,42867.31888633
2016-06-27,54800.50897892
2016-06-28,58672.62022042
2016-06-29,60271.20053796
2016-06-30,53600.31840467
2016-07-01,50147.82205333
2016-07-02,36229.07797211
2016-07-03,39982.32013876
2016-07-04,48790.6093162
2016-07-05,50252.90290455
2016-07-06,60221.50640242
2016-07-07,65451.22915695
2016-07-08,43164.90831517
2016-07-09,28798.48782247
2016-07-10,16126.94530823
2016-07-11,37276.18155929
2016-07-12,45768.21593773
2016-07-13,47071.22118004
2016-07-14,45117.85421772
2016-07-15,43874.13242895
2016-07-16,30588.60362888
2016-07-17,35209.31228785
2016-07-18,30254.86086401
2016-07-19,35345.17705683
2016-07-20,55037.14760417
2016-07-21,28961.8661175
2016-07-22,48174.00827752
2016-07-23,24372.15779982
2016-07-24,37206.9633986
2016-07-25,40719.72025749
2016-07-26,50480.9015083
2016-07-27,48611.32625549
2016-07-28,36608.93039205
2016-07-29,36577.29513601
2016-07-30,23965.07431272
2016-07-31,37815.14112446
2016-08-01,46891.5612267
2016-08-02,84883.1782551
2016-08-03,90966.67450249
2016-08-04,60671.27933794
2016-08-05,45575.90033106
2016-08-06,32376.941388
