date,supplyLoss
2023-07-26,5635623.192016998
2023-07-27,5727244.752617998
2023-07-28,5500035.522957001
2023-07-29,5469160.996528998
2023-07-30,5716363.996770002
2023-07-31,5728314.518867999
2023-08-01,5316331.1668219995
2023-08-02,5886368.320940997
2023-08-03,5804975.940629998
2023-08-04,5933557.899333
2023-08-05,5972796.280758997
2023-08-06,5982838.006904
2023-08-07,5796389.36992
2023-08-08,5141098.130247001
2023-08-09,5261972.8756949995
2023-08-10,5343892.5309379995
2023-08-11,5414187.987306999
2023-08-12,5402805.135307999
2023-08-13,5685157.096638
2023-08-14,5370258.5570399985
2023-08-15,5893986.023016002
2023-08-16,6219270.914384
2023-08-17,7496192.704608001
2023-08-18,7667787.577260001
2023-08-19,7646723.835991001
2023-08-20,7633467.938138001
2023-08-21,7614371.485847998
2023-08-22,7729582.191858999
2023-08-23,7399032.221679
2023-08-24,7627151.907222001
2023-08-25,7639165.618596001
2023-08-26,7769939.128938999
2023-08-27,7606688.1490779985
2023-08-28,7546618.915104
2023-08-29,6339792.9406240005
2023-08-30,6546451.448648002
2023-08-31,7818327.610059999
2023-09-01,7906338.354739999
2023-09-02,7856089.861285999
2023-09-03,7710420.639111001
2023-09-04,7950351.606028
2023-09-05,7960341.579584001
2023-09-06,7931534.152487999
2023-09-07,7294937.851355001
2023-09-08,7680952.581072001
2023-09-09,7726130.805713998
2023-09-10,7796629.782708
2023-09-11,8021014.444419
2023-09-12,7711588.820855999
2023-09-13,7207304.731695
2023-09-14,7003081.709670002
2023-09-15,6970376.690235
2023-09-16,7120777.9192200005
2023-09-17,7160095.309070002
2023-09-18,6940221.828855
2023-09-19,6435729.848859999
2023-09-20,6556877.289519999
2023-09-21,7122440.489220001
2023-09-22,7089597.026035
2023-09-23,7123091.357969999
2023-09-24,7466534.459319998
2023-09-25,7406444.652771
2023-09-26,7517898.326223999
2023-09-27,7323300.640823999
2023-09-28,6627600.410870999
2023-09-29,6752710.108651999
2023-09-30,6721808.058737999
2023-10-01,5947908.635949999
2023-10-02,6119828.342351999
2023-10-03,6233218.494888
2023-10-04,5970176.092733001
2023-10-05,6352741.624245999
2023-10-06,5918086.049052002
2023-10-07,5883345.820664
2023-10-08,6039689.118983997
2023-10-09,6262393.74759
2023-10-10,6422700.983867999
2023-10-11,7096102.7025109995
2023-10-12,7315011.0400720015
2023-10-13,7008984.0313760005
2023-10-14,6978089.922528001
2023-10-15,6660373.263639001
2023-10-16,5440949.079263998
2023-10-17,5519297.811384
2023-10-18,5613238.185428001
2023-10-19,5338280.493704999
2023-10-20,4618249.943398001
2023-10-21,4395941.840356
2023-10-22,4333689.590160001
2023-10-23,3576449.733096
2023-10-24,3500454.7202790007
2023-10-25,3443997.090491999
2023-10-26,3555453.429512998
2023-10-27,3670830.289639998
2023-10-28,3622201.557064999
2023-10-29,3436848.673279999
2023-10-30,3468265.9121280015
2023-10-31,3427426.026765
2023-11-01,3341655.594308
2023-11-02,3488294.516408002
2023-11-03,3560715.3712440003
2023-11-04,3445660.762992
2023-11-05,3443887.046188999
2023-11-06,3502632.0946540013
2023-11-07,3389473.103205001
2023-11-08,3282182.2790399995
2023-11-09,3188551.5024959985
2023-11-10,3094923.035952002
2023-11-11,3251398.6801919993
2023-11-12,3233979.5245900005
2023-11-13,3509638.678187998
2023-11-14,3664177.599375002
2023-11-15,2984247.4844309986
2023-11-16,3611755.321944002
2023-11-17,3488794.643354999
2023-11-18,3483097.0716959983
2023-11-19,3141212.8280459996
2023-11-20,3092509.3060959987
2023-11-21,3776876.320896
2023-11-22,3219874.5876659993
2023-11-23,3378387.835584
2023-11-25,3013101.7790480014
2023-11-26,3300683.428463999
2023-11-28,3005686.963711001
2023-11-30,3213252.976079002
2023-12-01,2816393.2963200007
2023-12-03,2439145.9389659986
2023-12-04,2175192.1549360007
2023-12-05,2009011.5491809992
2023-12-07,2255672.908234
2023-12-08,1989694.957401
2023-12-09,1989794.750526
2023-12-10,2304899.747684002
2023-12-11,2326539.994392
2023-12-12,2647563.832584001
2023-12-13,2585068.9330129996
2023-12-14,2395361.026871998
2023-12-15,2379828.9524479993
2023-12-16,2573706.399070002
2023-12-17,2544470.406399999
2023-12-18,2873448.414304003
2023-12-19,2480141.3225260004
2023-12-20,2544856.343899999
2023-12-21,2210212.8768370003
2023-12-22,2088949.1825510005
2023-12-23,2063603.4678620023
2023-12-24,2259514.606912002
2023-12-25,2578780.5645509996
2023-12-26,2363497.5243460014
2023-12-27,2727827.3490790017
2023-12-28,2432227.1405760013
2023-12-29,2686937.5595999993
2023-12-30,2982795.3857750017
2023-12-31,2906558.5787000004
2024-01-01,2867528.4551999997
2024-01-02,2033209.6696499996
2024-01-03,1913820.801725
2024-01-04,2652460.510949999
2024-01-05,2027634.784874998
2024-01-06,2362740.8395500034
2024-01-07,2570508.021600001
2024-01-08,2648981.103599999
2024-01-09,1704678.4785000011
2024-01-10,1888942.262699999
2024-01-11,1767551.8035999984
2024-01-12,1930301.3480000012
2024-01-13,3106276.9373749997
2024-01-14,3088764.8518000003
2024-01-15,3786618.425099997
2024-01-16,3357523.7671499997
2024-01-17,3316491.188099999
2024-01-18,3957623.458574999
2024-01-19,3820570.956325
2024-01-20,3793300.0829999982
2024-01-21,3916977.7014000006
2024-01-22,4387709.3334
2024-01-23,4262443.4257
2024-01-24,4094023.658399999
2024-01-25,4282501.694016
2024-01-26,3600299.4704639986
2024-01-27,3439689.2404460013
2024-01-28,3541844.663994001
2024-01-29,2773210.0437860005
2024-01-30,2983200.876279
2024-01-31,3355995.906213999
2024-02-01,2938355.909902001
2024-02-02,2881644.457730999
2024-02-03,3099535.25492
2024-02-04,3586221.673572
2024-02-05,3392169.274221001
2024-02-06,2897920.967122998
2024-02-07,2050427.729954999
2024-02-08,1954369.1768039984
2024-02-09,1636576.3803660013
2024-02-10,1524797.852822997
2024-02-11,1483651.832544003
2024-02-12,1222708.7082769985
2024-02-13,1344448.59169
2024-02-14,1046164.6978553272
2024-02-15,1042291.2311303244
2024-02-16,1028594.9304086864
2024-02-17,1385921.1891572662
2024-02-18,1120951.1124823615
2024-02-19,1395850.6994037032
2024-02-20,1016994.540861275
2024-02-21,1447022.980564203
2024-02-22,1600236.647795722
2024-02-23,1741695.39297913
2024-02-24,1519877.135267295
2024-02-25,1374637.6346059851
2024-02-26,923010.0519854464
2024-02-27,655953.2210119963
2024-02-28,106057.34591957554
2024-02-29,449780.7433205955
2024-03-01,106067.03216936812
2024-03-02,573570.8329343535
2024-03-03,80539.60252669826
2024-03-04,0.0
2024-03-05,186633.72719589993
2024-03-06,137525.7134601362
2024-03-07,131639.29181165993
2024-03-08,0.0
2024-03-09,0.0
2024-03-10,0.0
2024-03-11,0.0
2024-03-12,178837.51562236997
2024-03-13,0.0
2024-03-14,336089.47895077616
2024-03-15,524792.4848199002
2024-03-16,1220640.6580639146
2024-03-17,780381.3812440261
2024-03-18,817767.0485566966
2024-03-19,1724080.5305865929
2024-03-20,731343.6018812768
2024-03-21,1197325.9264659286
2024-03-22,1449042.8210901432
2024-03-23,1309512.0433392562
2024-03-24,880920.5660900697
2024-03-25,409015.99425592273
2024-03-26,403133.89385737106
2024-03-27,639142.3347734138
2024-03-28,395304.0466596894
2024-03-29,631335.3525758125
2024-03-30,708074.5227485746
2024-03-31,393391.85986009985
2024-04-01,702237.938600082
2024-04-02,1485194.8897214644
2024-04-03,1259029.9515519664
2024-04-04,820372.6690569408
2024-04-05,1028957.0247804448
2024-04-06,729946.1819117889
2024-04-07,680795.196303729
2024-04-08,234158.07598980516
2024-04-09,881577.1660775021
2024-04-10,505750.441164542
2024-04-11,619914.6605226919
2024-04-12,1363871.158149544
2024-04-13,1903220.9211506136
2024-04-14,1714362.0152950436
2024-04-15,2147477.2680097297
2024-04-16,2059009.080792319
2024-04-17,2681159.0381107405
2024-04-18,2031632.5318498611
2024-04-19,1976604.216468569
2024-04-20,1685267.0551763885
2024-04-21,1677429.2504793033
2024-04-22,1279759.7632761076
2024-04-23,1329016.7301328816
2024-04-24,1929582.869534448
2024-04-25,1764230.0921457782
2024-04-26,2160046.052861519
2024-04-27,2441674.218594607
2024-04-28,2516555.6313418597
2024-04-29,2065666.4624340648
2024-04-30,2997154.151613701
2024-05-01,3170511.999948567
2024-05-02,3016978.973978052
2024-05-03,2304136.8520181626
2024-05-04,1987116.3254599683
2024-05-05,1849299.687323809
2024-05-06,2304283.833266884
2024-05-07,2674596.5990275145
2024-05-08,2865696.958556261
2024-05-09,2267005.5562670566
2024-05-10,2915069.862912081
2024-05-11,3009688.5917767957
2024-05-12,2743837.702313531
2024-05-13,2346006.401048865
2024-05-14,2732141.9687031657
2024-05-15,1122823.184955068
2024-05-16,1562138.3221278451
2024-05-17,1073627.136848189
2024-05-18,1071678.938798923
2024-05-19,1312050.7520586103
2024-05-20,346736.70667008683
2024-05-21,459042.1654780098
2024-05-22,750640.8133308478
2024-05-23,1125006.2830011733
2024-05-24,803877.7790967152
2024-05-25,652182.1011784449
2024-05-26,918202.2872028798
2024-05-27,646300.9126554951
2024-05-28,1020704.2301385776
2024-05-29,1448328.009951692
2024-05-30,926159.786274381
2024-05-31,1531155.4127057306
2024-06-01,1476011.6438887864
2024-06-02,1365685.9518807493
2024-06-03,772528.4577913247
2024-06-04,404009.4360255152
2024-06-05,354746.911357671
2024-06-06,476947.5722836479
2024-06-07,857342.4185927771
2024-06-08,938174.9901727922
2024-06-09,758836.4145698994
2024-06-10,768708.3735644519
2024-06-11,1886328.8705879524
2024-06-12,1502001.9547432289
2024-06-13,2109158.840771217
2024-06-14,2324064.237821743
2024-06-15,2138815.322446745
2024-06-16,2063960.8362622785
2024-06-17,2038379.05287268
2024-06-18,2499735.89638545
2024-06-19,2590476.577270776
2024-06-20,2521529.2180488557
2024-06-21,2827172.1187994964
2024-06-22,2705002.510998491
2024-06-23,3274846.160341464
2024-06-24,3813187.8758972846
2024-06-25,3501734.6253721956
2024-06-26,3767986.037326155
2024-06-27,3497930.378648797
2024-06-28,3870678.830568636
2024-06-29,3711053.9042088874
