date,asopr
2023-09-24,0.99998204
2023-09-25,0.99584952
2023-09-26,0.99748474
2023-09-27,0.9957052
2023-09-28,1.00168157
2023-09-29,1.00679471
2023-09-30,1.00707464
2023-10-01,1.00462793
2023-10-02,1.01071348
2023-10-03,1.00285714
2023-10-04,1.01043084
2023-10-05,0.99758751
2023-10-06,1.01243468
2023-10-07,1.01496966
2023-10-08,1.00377397
2023-10-09,1.01237386
2023-10-10,0.99992679
2023-10-11,0.99658845
2023-10-12,0.99159129
2023-10-13,0.99714852
2023-10-14,1.02698293
2023-10-15,1.0024258
2023-10-16,1.0143185
2023-10-17,1.00971558
2023-10-18,1.012047
2023-10-19,0.98766479
2023-10-20,1.02211775
2023-10-21,1.01302925
2023-10-22,1.0103484
2023-10-23,1.03603777
2023-10-24,1.07006837
2023-10-25,1.03787852
2023-10-26,1.05594934
2023-10-27,1.02162783
2023-10-28,1.02330256
2023-10-29,1.01970261
2023-10-30,1.02415574
2023-10-31,1.02619018
2023-11-01,1.05648275
2023-11-02,1.03277597
2023-11-03,1.02395634
2023-11-04,1.0186322
2023-11-05,1.01564703
2023-11-06,1.020943
2023-11-07,1.02593402
2023-11-08,1.02706309
2023-11-09,1.06159325
2023-11-10,1.03623303
2023-11-11,1.01780287
2023-11-12,1.01424442
2023-11-13,1.01753419
2023-11-14,1.01166722
2023-11-15,1.0272125
2023-11-16,1.0278299
2023-11-17,1.0147682
2023-11-18,1.0126675
2023-11-19,1.01466118
2023-11-20,1.02712657
2023-11-21,1.03511634
2023-11-22,1.01501499
2023-11-23,1.01538544
2023-11-24,1.01872036
2023-11-25,1.01177038
2023-11-26,1.01712515
2023-11-27,1.00624378
2023-11-28,1.0203909
2023-11-29,1.02227974
2023-11-30,1.0164853
2023-12-01,1.03554019
2023-12-02,1.02113056
2023-12-03,1.02643289
2023-12-04,1.06273438
2023-12-05,1.04742975
2023-12-06,1.06697198
2023-12-07,1.03713856
2023-12-08,1.03255731
2023-12-09,1.03711116
2023-12-10,1.01820693
2023-12-11,1.01683262
2023-12-12,1.04419964
2023-12-13,1.02151387
2023-12-14,1.0264825
2023-12-15,1.03860939
2023-12-16,1.0248784
2023-12-17,1.00757544
2023-12-18,1.02988007
2023-12-19,1.03219031
2023-12-20,1.04149042
2023-12-21,1.02566342
2023-12-22,1.02756563
2023-12-23,1.02615577
2023-12-24,1.04932432
2023-12-25,1.01407221
2023-12-26,1.03423361
2023-12-27,1.08138133
2023-12-28,1.01953529
2023-12-29,1.03034723
2023-12-30,1.01836311
2023-12-31,1.01976257
2024-01-01,1.01554726
2024-01-02,1.04903214
2024-01-03,1.02725475
2024-01-04,1.13706661
