date,reserveRisk
2020-10-07,0.0010605775
2020-10-08,0.0010850809
2020-10-09,0.0010974945
2020-10-10,0.001120962
2020-10-11,0.0011269543
2020-10-12,0.0011442279
2020-10-13,0.0011302349
2020-10-14,0.0011245402
2020-10-15,0.0011340748
2020-10-16,0.0011159848
2020-10-17,0.0011183769
2020-10-18,0.0011285294
2020-10-19,0.001153162
2020-10-20,0.0011690128
2020-10-21,0.0012561987
2020-10-22,0.0012715152
2020-10-23,0.0012643991
2020-10-24,0.0012801635
2020-10-25,0.0012706774
2020-10-26,0.001272987
2020-10-27,0.001328493
2020-10-28,0.0012891424
2020-10-29,0.0013057111
2020-10-30,0.001319807
2020-10-31,0.0013351191
2020-11-01,0.0013291133
2020-11-02,0.0013095643
2020-11-03,0.001352252
2020-11-04,0.0013563843
2020-11-05,0.001496973
2020-11-06,0.0014932007
2020-11-07,0.0014239544
2020-11-08,0.0014838673
2020-11-09,0.0014638295
2020-11-10,0.0014599403
2020-11-11,0.0014953505
2020-11-12,0.0015486478
2020-11-13,0.0015503632
2020-11-14,0.001526233
2020-11-15,0.0015127205
2020-11-16,0.0015812491
2020-11-17,0.0016666645
2020-11-18,0.0016758532
2020-11-19,0.0016752251
2020-11-20,0.0017531732
2020-11-21,0.001756132
2020-11-22,0.0017261648
2020-11-23,0.0017138298
2020-11-24,0.0017874743
2020-11-25,0.0017434775
2020-11-26,0.001593738
2020-11-27,0.0015884957
2020-11-28,0.0016398572
2020-11-29,0.0016794102
2020-11-30,0.0018143757
2020-12-01,0.0017265942
2020-12-02,0.0017675579
2020-12-03,0.0017853102
2020-12-04,0.0017102345
2020-12-05,0.0017492452
2020-12-06,0.0017642503
2020-12-07,0.0017467823
2020-12-08,0.0016653406
2020-12-09,0.0016846211
2020-12-10,0.001657325
2020-12-11,0.001636885
2020-12-12,0.0017008523
2020-12-13,0.0017253464
2020-12-14,0.0017346612
2020-12-15,0.0017475891
2020-12-16,0.0019165958
2020-12-17,0.0020344212
2020-12-18,0.0020588635
2020-12-19,0.0021276294
2020-12-20,0.0020884288
2020-12-21,0.0020329878
2020-12-22,0.0021111679
2020-12-23,0.0020698844
2020-12-24,0.0020959393
2020-12-25,0.0021740592
2020-12-26,0.0023236058
2020-12-27,0.0022991628
2020-12-28,0.0023684348
2020-12-29,0.0023881862
2020-12-30,0.0025053468
2020-12-31,0.0025202736
2021-01-01,0.002545358
2021-01-02,0.0027806228
2021-01-03,0.0028767648
2021-01-04,0.0027502807
2021-01-05,0.0029152584
2021-01-06,0.0031036409
2021-01-07,0.0033593031
2021-01-08,0.0034509145
2021-01-09,0.0034140028
2021-01-10,0.00323335
2021-01-11,0.0029769704
2021-01-12,0.002829034
2021-01-13,0.0031163164
