date,price_open,price_high,price_low,price_close,price_volume,adjusted_sopr,avg_dormancy,avg_spent_output_lifespan,coin_days_destroyed,supply_adjusted_cdd,exchange_netflow,exchange_inflow,exchange_outflow,mvrv_ratio,mvrv_zscore,nupl,nvt_ratio,active_addresses,puell_multiple,reserve_risk,utxos_profit_pct,utxos_loss_pct,supply_in_profit,supply_in_loss,net_realized_pl,realized_loss_usd,rpv_ratio,liveliness,difficulty,hash_ribbons,hash_ribbons.1,hash_ribbons.2,hodl_age_0d_1d,hodl_age_1d_1w,hodl_age_1w_1m,hodl_age_1m_3m,hodl_age_3m_6m,hodl_age_6m_1y,hodl_age_1y_2y,hodl_age_2y_3y,hodl_age_3y_4y,hodl_age_4y_5y,hodl_age_5y_7y,hodl_age_7y_10y,hodl_age_10y,drawdown_from_ath,pct_supply_in_profit
2024-02-02,43082.95,43488.0,42546.79,43200.0,29672.14,1.01490915,15.503,32.87,13235041.18,0.67469613,-6283.38445874,49504.44711958,55787.83157832,1.8807,1.3773784314308497,0.4705,0.931523,1083848.0,1.422,0.0008441711,89.8904,10.1096,16734723.532269,2881644.457730999,10667.597121,86509838.85,0.0,0.58805924,75502165623894.0,526130237.87,516956580.01,Up,196163.6799,431560.09578,1216214.81538,1235831.18337,961202.03151,1961636.799,2432429.63076,2628593.31066,1530076.70322,843503.82357,2079335.00694,961202.03151,3138618.8784,-0.3602448129848977,0.8531000000000001
2024-02-03,43199.99,43380.01,42880.0,43011.09,12033.41,1.00645794,3.532,20.47,2125104.33,0.10832832,-1158.145722,25865.68917959,27023.83490159,1.8624,1.3649334271463784,0.4683,1.323997,983358.0,1.443,0.0008427897,88.6621,11.3379,16517776.485079998,3099535.25492,9561.4910469,19886777.86,0.0,0.58793247,75502165623894.0,524737989.18,518632356.26,Up,117703.87044,510050.10524,961248.27526,1490915.69224,961248.27526,1961731.174,2452163.9675,2628719.77316,1530150.31572,843544.40482,2079435.04444,961248.27526,3138769.8784,-0.3630424091047827,0.842
2024-02-04,43011.1,43119.04,42222.0,42582.88,17066.89,1.00868653,12.5924,41.21,6839984.03,0.34865493,2248.76963011,26380.16871999,24131.39908988,1.8633,1.336551427836731,0.4631,1.450346,927999.0,1.451,0.0008283827,85.929,14.071,16032058.816427998,3586221.673572,8713.7702177,51664687.57,0.0,0.58786925,75502165623894.0,527664246.35,520670954.74,Up,98091.40245,529693.57323,922059.18303,1510607.59773,961295.74401,1961828.049,2432666.78076,2609231.30517,1530225.87822,843586.06107,2079537.73194,961295.74401,3138924.8784,-0.3693838343045913,0.8171999999999999
2024-02-05,42582.88,43569.76,42258.1,42708.7,29467.76,1.01504907,13.642,39.93,11542789.0,0.58834206,642.06733834,50009.88157196,49367.81423362,1.8818,1.3381867743930356,0.4633,0.934096,948535.0,1.595,0.0008302348,86.5487,13.4513,16227086.215778995,3392169.274221001,8430.4211784,112223126.82,0.0,0.58786938,75502165623894.0,530202553.0,523954477.06,Up,176573.29941,451242.87627,941724.26352,1510682.67273,961343.51901,1961925.549,2432787.68076,2589741.72468,1549921.18371,843627.98607,2079641.08194,961343.51901,3139080.8784,-0.3675205473224099,0.8271
2024-02-06,42708.7,43399.98,42574.0,43098.95,24675.85,1.03097173,28.8662,44.78,26856894.4,1.36883597,-1116.90948292,49661.90649993,50778.81598285,1.9299,1.3682484663849777,0.4686,0.855913,972498.0,1.538,0.0008428696,89.6456,10.3544,16722397.022877,2897920.967122998,9081.5034409,95785945.22,0.0,0.58807562,75502165623894.0,537158755.3,526987687.12,Up,235443.81588,372786.04181,981015.8995,1510764.48523,961395.58151,1962031.799,2432919.43076,2589881.97468,1550005.12121,824053.35558,2079753.70694,961395.58151,3139250.8784,-0.3617412773748949,0.8523000000000001
2024-02-07,43098.96,44396.5,42788.0,44349.6,34392.6,1.02009739,11.478,36.81,9690796.79,0.49389374,-5105.29944081,45276.36442892,50381.66386973,1.9742,1.4439223050456844,0.4818,0.963566,1007243.0,1.356,0.0008610776,94.3234,5.6766,17570890.260045,2050427.729954999,8816.0413342,44243328.44,0.0,0.58805075,75502165623894.0,542257434.0,528156684.91,Up,176591.86191,372805.04181,1039929.85347,1491220.16724,981065.8995,1962131.799,2433043.43076,2590013.97468,1550084.12121,824095.35558,2079859.70694,961444.58151,3139410.8784,-0.3432202166193292,0.8955000000000001
2024-02-08,44349.6,45614.3,44331.1,45288.65,45439.62,1.03300081,8.7737,39.04,8413685.16,0.42878564,262.71929197,69707.0343135,69444.31502153,2.0509,1.514192510584366,0.4935,0.83631,979656.0,1.693,0.0008824792,94.7883,5.2117,17667811.313196,1954369.1768039984,9304.9761962,27032555.67,0.0,0.58800871,75502165623894.0,541086356.77,528969844.31,Up,196221.8049,333577.06833,1020353.38548,1510907.89773,1000731.20499,1962218.049,2433150.38076,2590127.82468,1569774.4392,824131.58058,2079951.13194,961486.84401,3139548.8784,-0.3293136863330669,0.9004000000000001
2024-02-09,45288.66,48200.0,45242.12,47132.77,73503.48,1.03752585,9.4193,43.79,9825196.54,0.50069434,963.55749705,73581.35859221,72617.80109516,2.0757,1.635466600010671,0.5124,0.766456,1092294.0,1.567,0.0009200943,96.0711,3.9289,17986641.609633997,1636576.3803660013,10096.6129766,64063346.17,0.0,0.58798567,75502165623894.0,545722790.84,530543196.09,Up,215855.39789,333594.70583,1020407.33548,1510987.78523,1000784.11749,1962321.799,2433279.03076,2570641.55669,1569857.4392,843798.37357,2080061.10694,961537.68151,3139714.8784,-0.3020038406044029,0.9166
2024-02-10,47132.78,48170.0,46800.0,47751.09,24802.36,1.02775155,9.3631,58.04,5887918.06,0.30003507,-898.28467026,33888.48006868,34786.76473894,2.0917,1.6748317708101812,0.5182,1.276816,1096482.0,1.422,0.0009303572,96.5258,3.4742,18099370.137177,1524797.852822997,9753.8453749,28196760.31,0.0,0.58790969,75502165623894.0,543756150.66,532021478.95,Up,137369.17593,431731.69578,981208.3995,1550309.27121,981208.3995,1962416.799,2433396.83076,2551141.8387,1589557.60719,843839.22357,2080161.80694,961584.23151,3139866.8784,-0.2928470483072922,0.9223
2024-02-11,47751.08,48592.66,47557.16,48299.99,29958.81,1.03160663,9.8519,62.69,6277380.12,0.31986713,4066.56179202,34327.97949925,30261.41770723,2.1635,1.7001842343279867,0.5219,1.251499,1006859.0,1.92,0.0009358733,96.6282,3.3718,18141372.407455996,1483651.832544003,9538.4466057,19823078.71,0.0,0.58783898,75502165623894.0,540519339.56,532282637.32,Up,117750.14544,451375.55752,942001.16352,1570001.9392,981251.212,1962502.424,2433503.00576,2531628.12696,1609251.98768,843876.04232,2080252.56944,961626.18776,3140003.8784,-0.2847183070537601,0.9244
