date,supplyProfit
2020-12-18,18574627.69
2020-12-19,18575615.19
2020-12-20,18459526.618678004
2020-12-21,18120404.680076003
2020-12-22,18498415.988433
2020-12-23,18233690.857466
2020-12-24,18319931.95234
2020-12-25,18580952.69
2020-12-26,18581808.94
2020-12-27,18478670.629936
2020-12-28,18583733.94
2020-12-29,18584683.94
2020-12-30,18585758.94
2020-12-31,18586796.44
2021-01-01,18587727.69
2021-01-02,18588671.44
2021-01-03,18589658.94
2021-01-04,18252388.718542
2021-01-05,18591721.44
2021-01-06,18592827.69
2021-01-07,18593877.69
2021-01-08,18594802.69
2021-01-09,18286983.294096004
2021-01-10,17910448.244489003
2021-01-11,17725398.951339003
2021-01-12,17497518.370752
2021-01-13,17972699.449347
2021-01-14,18083329.723968
2021-01-15,17732705.268127
2021-01-16,17454546.478402004
2021-01-17,17421840.787935004
2021-01-18,17538034.578988
2021-01-19,17511005.001828004
2021-01-20,17336939.360292003
2021-01-21,16695760.674987
2021-01-22,16973803.862568002
2021-01-23,16851877.016064003
2021-01-24,16889882.536444
2021-01-25,16942785.428976003
2021-01-26,16988368.570432004
2021-01-27,16523874.706932
2021-01-28,17202194.848598
2021-01-29,17439470.831511002
2021-01-30,17462605.034739003
2021-01-31,16800728.083975002
2021-02-01,17030382.378312003
2021-02-02,17641910.014044
2021-02-03,18044955.887148
2021-02-04,17895107.925359
2021-02-05,18058121.04122
2021-02-06,18345855.022704
2021-02-07,18002300.683584
2021-02-08,18623440.02
2021-02-09,18624333.77
2021-02-10,18235960.264831997
2021-02-11,18626033.77
2021-02-12,18489082.042676
2021-02-13,18303774.461392
2021-02-14,18628821.37
2021-02-15,18568291.250683
2021-02-16,18630524.85
2021-02-17,18631385.97
2021-02-18,18485045.175027
2021-02-19,18633196.08
2021-02-20,18634108.56
2021-02-21,18634989.28
2021-02-22,18263104.1194
2021-02-23,17904195.338796
2021-02-24,18031885.1595
2021-02-25,17456896.27584
2021-02-26,17088648.795984
2021-02-27,16880775.563327998
2021-02-28,16827457.395051
2021-03-01,18108900.610182
2021-03-02,17682845.074929997
2021-03-03,18133064.317788
2021-03-04,17667724.713287998
2021-03-05,17883032.010033
2021-03-06,17911913.037977997
2021-03-07,18173854.601297997
2021-03-08,18277365.329388
2021-03-09,18416228.069
2021-03-10,18586865.191158
2021-03-11,18651101.13
2021-03-12,18445001.001207
2021-03-13,18652932.38
2021-03-14,18543855.539583
2021-03-15,18210853.470606
2021-03-16,18245342.94264
2021-03-17,18529754.864816
2021-03-18,18336659.678064
2021-03-19,18462580.68376
2021-03-20,18469130.914724
2021-03-21,18078226.889744
2021-03-22,17560354.93833
2021-03-23,17622887.681433998
2021-03-24,17425953.443206
2021-03-25,17204747.020384
2021-03-26,17754285.809856
2021-03-27,17898960.332307
2021-03-28,17683374.503574
2021-03-29,18313382.683529995
2021-03-30,18577510.585713
2021-03-31,18580354.024575997
2021-04-01,18583123.012189
2021-04-02,18583993.899689
2021-04-03,17753879.441903997
2021-04-04,18161828.962788
2021-04-05,18351389.267325997
2021-04-06,18087083.62253
2021-04-07,17436229.744968
2021-04-08,17937559.955252003
2021-04-09,17970225.149672996
2021-04-10,18598787.218266
2021-04-11,18635181.597288
2021-04-12,18580036.626775995
2021-04-13,18681801.0
2021-04-14,18566812.322736
2021-04-15,18592169.284401003
2021-04-16,18372334.393558003
2021-04-17,18223414.189353
2021-04-18,17035759.081017002
2021-04-19,16628950.170074
2021-04-20,17167850.951962
2021-04-21,16379808.063015005
2021-04-22,16218000.282028005
2021-04-23,16091644.01061
2021-04-24,15926079.597758
2021-04-25,15794122.49935
2021-04-26,16536796.148061
2021-04-27,16782457.904914
2021-04-28,16652398.406004
2021-04-29,16376398.75788
2021-04-30,17710176.462474
2021-05-01,17793263.123521
2021-05-02,17298881.091576
2021-05-03,17370959.034950003
2021-05-04,16302387.824040003
2021-05-05,17526267.03366
2021-05-06,17289750.817975
2021-05-07,17509567.492110003
2021-05-08,18183907.56666
2021-05-09,18035397.446760003
2021-05-10,16629778.7292
2021-05-11,17221883.11868
2021-05-12,15628924.513120005
2021-05-13,15399640.510055
2021-05-14,15551882.12436
2021-05-15,14656267.78749
2021-05-16,14535287.633040002
2021-05-17,14479737.56839
2021-05-18,14420339.17243
2021-05-19,14158946.42448
2021-05-20,14719042.967200004
2021-05-21,13901725.062840002
2021-05-22,14188618.77993
2021-05-23,13575272.591965
2021-05-24,14348878.651914
2021-05-25,14257748.182967998
2021-05-26,14524140.022286
2021-05-27,14296325.609923
2021-05-28,13626697.472866
2021-05-29,13434395.938704
2021-05-30,13715874.591804
2021-05-31,13999238.534283
2021-06-01,13868834.424002998
2021-06-02,14141115.310207998
2021-06-03,14656771.745057998
2021-06-04,13882125.905277
2021-06-05,13461362.968752
2021-06-06,13615610.44158
2021-06-07,13309053.932174
2021-06-08,13259144.003316
2021-06-09,14241207.841662
2021-06-10,13992635.95488
2021-06-11,14178577.243400998
2021-06-12,13607837.369055998
2021-06-13,14724987.893939998
2021-06-14,15066626.717168
2021-06-15,14930514.226251
2021-06-16,14410251.794514
2021-06-17,14328432.458088
2021-06-18,13592617.769016
2021-06-19,13437553.171809
2021-06-20,13514855.308848
2021-06-21,12943756.879502997
2021-06-22,13122185.653008
2021-06-23,13375634.614173
2021-06-24,13556025.340182
2021-06-25,13044849.62784
2021-06-26,13176438.871869998
2021-06-27,13701512.235489998
2021-06-28,13694416.657974
2021-06-29,14174690.181498
2021-06-30,13882681.263374
2021-07-01,13375114.950414998
2021-07-02,13630466.569708996
2021-07-03,13801642.656948002
2021-07-04,14074015.716902995
2021-07-05,13617167.220926998
2021-07-06,13692810.087337
2021-07-07,13646495.661612
2021-07-08,13195223.866273
2021-07-09,13687103.076695995
2021-07-10,13421544.494252998
2021-07-11,13872195.135837998
2021-07-12,13227619.408212
2021-07-13,13130690.573004
2021-07-14,13189579.618127996
2021-07-15,12944421.383854
2021-07-16,12721845.177127998
2021-07-17,12746838.205305
2021-07-18,13045734.451566
2021-07-19,12599958.984364
2021-07-20,12568575.902420998
2021-07-21,13308436.335872002
2021-07-22,13337260.200932
2021-07-23,13621205.021536
2021-07-24,14106054.568818
2021-07-25,14371380.944382
2021-07-26,14989547.371323
2021-07-27,15440839.841033
2021-07-28,15569279.54568
2021-07-29,15579494.2832
2021-07-30,15895716.818872
2021-07-31,15904062.033888
2021-08-01,15240296.889972
2021-08-02,15094582.457160002
2021-08-03,14674862.441263998
2021-08-04,15199384.526129998
2021-08-05,15842376.404998
2021-08-06,15959640.020871
2021-08-07,15983062.264043998
2021-08-08,15946342.150214
2021-08-09,16136839.294368
2021-08-10,15948024.429589
2021-08-11,15986370.915294
2021-08-12,15726074.715988
2021-08-13,16393685.898033
2021-08-14,16167269.285674
2021-08-15,16093099.493014
2021-08-16,15874139.652545998
2021-08-17,15643939.990804
2021-08-18,15691617.762779
2021-08-19,16137769.876851998
2021-08-20,16698632.326794
2021-08-21,16598093.555327997
2021-08-22,16704246.110551998
2021-08-23,16767365.224434
2021-08-24,16268240.95962
2021-08-25,16526630.155168
2021-08-26,15933407.328904
2021-08-27,16569592.880256
2021-08-28,16367329.006074
2021-08-29,16417060.522427998
2021-08-30,15851860.846224
2021-08-31,15984239.061504
2021-09-01,16370441.401074
2021-09-02,16736060.6606
2021-09-03,16840314.09207
2021-09-04,16843062.253324
2021-09-05,17071550.766932998
2021-09-06,17177854.459657
2021-09-07,15602490.65193
2021-09-08,15356810.592656
2021-09-09,15483545.052298998
2021-09-10,15102358.929612
2021-09-11,15212217.101094
2021-09-12,15367234.392672
2021-09-13,15176133.661013998
2021-09-14,15799789.985463
2021-09-15,16195689.726302998
2021-09-16,16047761.244112
2021-09-17,15786965.518556
2021-09-18,16239449.053891
2021-09-19,15735919.370319
2021-09-20,14884155.909131998
2021-09-21,14583605.235992
2021-09-22,14998365.631872
2021-09-23,15125310.016514998
2021-09-24,14918975.984824998
2021-09-25,14746489.056957
2021-09-26,15027691.476927998
2021-09-27,14770521.903255
2021-09-28,14703483.160611
2021-09-29,14802032.114569
2021-09-30,15224681.619839998
2021-10-01,16285610.954592
2021-10-02,16058749.911607996
2021-10-03,16342055.755957998
2021-10-04,16734664.304289998
2021-10-05,17091570.928795997
2021-10-06,17566995.711054
2021-10-07,17272069.402925998
2021-10-08,17295362.932974
2021-10-09,17454472.51206
2021-10-10,17359308.488106
2021-10-11,18015818.024498
2021-10-12,17696306.647568
2021-10-13,18164603.83856
2021-10-14,18165429.26356
2021-10-15,18733503.883514
2021-10-16,18547759.593118
2021-10-17,18739093.632897
2021-10-18,18766399.781703
2021-10-19,18848412.54
2021-10-20,18849343.79
2021-10-21,18535469.301207
2021-10-22,18202773.073624
2021-10-23,18260204.636244
2021-10-24,18193259.63235
2021-10-25,18639317.768294
2021-10-26,17899235.464847
2021-10-27,17658807.924960002
2021-10-28,18025531.800111
2021-10-29,18428233.079088
2021-10-30,18193440.131713
2021-10-31,18090548.008368
2021-11-01,18046168.958272
2021-11-02,18562045.034364
2021-11-03,18395154.974008
2021-11-04,17918771.152996
2021-11-05,17793297.082728
2021-11-06,18050779.538272
2021-11-07,18708256.944664
2021-11-08,18867581.29
2021-11-09,18691167.095874
2021-11-10,18514716.644248
2021-11-11,18564748.749351997
2021-11-12,18393892.700238
2021-11-13,18443892.720967
2021-11-14,18633584.446992
2021-11-15,18124912.304036997
2021-11-16,17065028.801788997
2021-11-17,17005467.264786
2021-11-18,16300278.740789998
2021-11-19,16801280.9731
2021-11-20,17096596.036224
2021-11-21,16961410.215936
2021-11-22,16091812.895967
2021-11-23,16713710.197908
2021-11-24,16382250.979704
2021-11-25,17208146.283951998
2021-11-26,15448918.622724
2021-11-27,15604505.108676998
2021-11-28,16407863.614752
2021-11-29,16888358.634517998
2021-11-30,16275267.228843
2021-12-01,16408222.809748
2021-12-02,16123837.159144
2021-12-03,15214222.483466
2021-12-04,14710606.672398
2021-12-05,14785094.446304
2021-12-06,15061778.651887998
2021-12-07,15100334.581968
2021-12-08,14925446.870346
2021-12-09,14264878.235821
2021-12-10,14010499.953406
2021-12-11,14844614.68142
2021-12-12,15045633.249344
2021-12-13,13840511.221167
2021-12-14,14495162.551300997
2021-12-15,14728331.291168
2021-12-16,14118337.965501
2021-12-17,13693704.483976
2021-12-18,13915464.460693998
2021-12-19,13831076.356764
2021-12-20,13994327.633358
2021-12-21,15012277.13176
2021-12-22,14716154.803632
2021-12-23,15584818.437968
2021-12-24,15598833.254871
2021-12-25,15374551.570019998
2021-12-26,15662690.678127997
2021-12-27,15640761.58308
2021-12-28,14143505.982412
2021-12-29,13654300.877001
2021-12-30,14012333.889631998
2021-12-31,13594978.639373
2022-01-01,14297577.276481995
2022-01-02,14192382.093757998
2022-01-03,13718171.460879
2022-01-04,13429362.793392
2022-01-05,13221898.742951998
2022-01-06,13266056.480544
2022-01-07,13103935.1527
2022-01-08,13193499.087888
2022-01-09,13218715.256065
2022-01-10,13251508.216757998
2022-01-11,13375220.655142998
2022-01-12,13642707.768832
2022-01-13,13264948.288032
2022-01-14,13458723.440939998
2022-01-15,13569256.988672
2022-01-16,13501887.881027998
2022-01-17,13235658.345464
2022-01-18,13306305.698112
2022-01-19,13093107.374535
2022-01-20,12923419.05855
2022-01-21,12141923.525648
2022-01-22,11803486.663682
2022-01-23,12063486.11923
2022-01-24,12351954.682338
2022-01-25,12451061.525045998
2022-01-26,12396667.723055
2022-01-27,12546841.346495995
