date,exchangeNetflowBtc
2013-08-24,5.07603932
2013-08-25,15.2152054
2013-08-26,-8.01132375
2013-08-27,29.51705347
2013-08-28,25.34739323
2013-08-29,39.60433214
2013-08-30,81.27267586
2013-08-31,14.44244861
2013-09-01,-3.98367132
2013-09-02,4.74322228
2013-09-03,-1.42498133
2013-09-04,6.3621
2013-09-05,51.57556106
2013-09-06,80.18922012
2013-09-07,3.63345372
2013-09-08,8.23037106
2013-09-09,8.91210415
2013-09-10,206.60858194
2013-09-11,-99.04155699
2013-09-12,97.36963043
2013-09-13,929.35079668
2013-09-14,-1004.80925088
2013-09-15,2.49781039
2013-09-16,3.47037369
2013-09-17,38.70633724
2013-09-18,-4.79544298
2013-09-19,38.96218223
2013-09-20,-17.67538675
2013-09-21,-7.78442145
2013-09-22,31.72599217
2013-09-23,21.50891789
2013-09-24,-0.8557552
2013-09-25,143.63568792
2013-09-26,83.66859831
2013-09-27,581.15192388
2013-09-28,-34.90072957
2013-09-29,-80.9168494
2013-09-30,-138.5630783
2013-10-01,-41.70843397
2013-10-02,82.55498918
2013-10-03,271.73631945
2013-10-04,46.21976714
2013-10-05,55.73086456
2013-10-06,-28.76038931
2013-10-07,48.50150083
2013-10-08,-53.17155073
2013-10-09,1.77564926
2013-10-10,126.4029786
2013-10-11,24.7655893
2013-10-12,23.94786049
2013-10-13,46.30107689
2013-10-14,33.77047672
2013-10-15,42.1866941
2013-10-16,-17.56530011
2013-10-17,-13.21407962
2013-10-18,119.6522594
2013-10-19,165.9176364
2013-10-20,44.07913982
2013-10-21,1550.31402915
2013-10-22,-525.88240554
2013-10-23,-662.62279824
2013-10-24,383.40122348
2013-10-25,159.27956305
2013-10-26,-18.43370256
2013-10-27,29.64299851
2013-10-28,-313.43663628
2013-10-29,12.68926358
2013-10-30,74.09233685
2013-10-31,1124.58909456
2013-11-01,198.39070344
2013-11-02,90.31467647
2013-11-03,126.58064708
2013-11-04,240.53814723
2013-11-05,-341.91035097
2013-11-06,977.45842033
2013-11-07,-619.32033677
2013-11-08,173.62731265
2013-11-09,-660.87460135
2013-11-10,749.21578091
2013-11-11,126.1719978
2013-11-12,-1044.89563349
2013-11-13,3011.05200839
2013-11-14,-2823.79664855
2013-11-15,-70.00354268
2013-11-16,532.1394284
2013-11-17,107.06245896
2013-11-18,283.11518219
2013-11-19,-820.48255564
2013-11-20,565.56051822
2013-11-21,-631.79002339
2013-11-22,717.3546021
2013-11-23,18701.06171187
2013-11-24,50.33751012
2013-11-25,87.8251542
2013-11-26,54913.32272266
2013-11-27,810.91921272
2013-11-28,-843.39728473
2013-11-29,662.46244233
2013-11-30,-349.08652319
2013-12-01,812.5107302
2013-12-02,-270.6493613
2013-12-03,-168.07524962
2013-12-04,43.71594671
2013-12-05,-106.60062592
2013-12-06,1567.29971511
2013-12-07,-236.07671236
2013-12-08,6531.49810114
2013-12-09,-82.28957191
2013-12-10,79.57482725
2013-12-11,450.74224023
2013-12-12,135.52857635
2013-12-13,3170.67216142
2013-12-14,228.94284954
2013-12-15,-310.99080944
2013-12-16,-102.09724526
2013-12-17,565.68705316
2013-12-18,957.10868935
2013-12-19,172.27595392
2013-12-20,-874.75557002
2013-12-21,1746.50416042
2013-12-22,438.40903315
2013-12-23,210.78147199
2013-12-24,172.64782181
2013-12-25,1997.49017422
2013-12-26,100.91940621
2013-12-27,-18.75870277
2013-12-28,-373.29433079
2013-12-29,-337.26628194
2013-12-30,4013.60813631
2013-12-31,-572.06294613
2014-01-01,203.67256588
2014-01-02,126.12762993
2014-01-03,113.603036
2014-01-04,-69.18624341
2014-01-05,606.33431799
2014-01-06,1826.93228813
2014-01-07,683.27289416
2014-01-08,-25.71282043
2014-01-09,212.89278967
2014-01-10,-243.12539169
2014-01-11,654.6982224
2014-01-12,737.26351722
2014-01-13,135.13951522
2014-01-14,75.22832891
2014-01-15,53.43037915
2014-01-16,182.58835915
2014-01-17,1498.92346911
2014-01-18,638.21520706
2014-01-19,1225.67486087
2014-01-20,169.84409329
2014-01-21,-339.47296703
2014-01-22,361.07470917
2014-01-23,87.96755459
2014-01-24,61.26655894
2014-01-25,-362.92426579
2014-01-26,-232.48906677
2014-01-27,3299.29633926
2014-01-28,184.59743703
2014-01-29,972.88075566
2014-01-30,1069.88691938
2014-01-31,364.28159449
2014-02-01,532.70093913
2014-02-02,380.17172781
2014-02-03,54.08491645
2014-02-04,250.36592342
2014-02-05,45.47722438
2014-02-06,-34.65412378
2014-02-07,3297.98335708
2014-02-08,-115.21175389
2014-02-09,-363.27880416
2014-02-10,877.01123535
2014-02-11,1842.23337137
2014-02-12,658.1010472
2014-02-13,507.6322128
2014-02-14,-39.16979698
2014-02-15,81.1562142
2014-02-16,3420.39919319
2014-02-17,3114.83829521
2014-02-18,363.89180923
2014-02-19,298.2595839
2014-02-20,676.9769463
2014-02-21,673.67433876
2014-02-22,2235.69088688
2014-02-23,302.84705353
2014-02-24,1399.83990369
2014-02-25,19602.41808209
2014-02-26,85.0410176
2014-02-27,577.30550184
2014-02-28,-24.33216256
2014-03-01,101.13630968
2014-03-02,435.58391436
2014-03-03,-236.51667352
2014-03-04,5373.89238625
2014-03-05,1612.91669625
2014-03-06,113.51921112
2014-03-07,-133.9075195
2014-03-08,28.66543699
2014-03-09,-103.24670872
2014-03-10,214.62128175
2014-03-11,-122.43622466
2014-03-12,1396.88701712
2014-03-13,-33.22637109
2014-03-14,111.96970182
2014-03-15,268.57837023
2014-03-16,295.76643579
2014-03-17,200.83520009
2014-03-18,1819.08425025
2014-03-19,-1455.15350523
2014-03-20,-185.14105839
2014-03-21,2076.7289134
2014-03-22,-712.56247508
2014-03-23,208.70052941
2014-03-24,951.6513902
2014-03-25,-159.58155594
2014-03-26,1082.869828
2014-03-27,3320.61951861
2014-03-28,1188.28399624
2014-03-29,2099.53225992
2014-03-30,89.86152899
2014-03-31,1504.10539638
2014-04-01,1265.44004181
2014-04-02,-333.96582845
2014-04-03,271.47301151
2014-04-04,192.14332227
2014-04-05,704.08989329
2014-04-06,1244.38646402
2014-04-07,-30.28420862
2014-04-08,-30.8302227
2014-04-09,235.05574496
2014-04-10,493.41342577
2014-04-11,-360.39637959
2014-04-12,661.65665632
2014-04-13,16.56485855
2014-04-14,125.36419994
2014-04-15,-139.59212993
2014-04-16,293.50619198
2014-04-17,1475.8471649
2014-04-18,617.3631635
2014-04-19,209.36944767
2014-04-20,-447.17919207
2014-04-21,190.37427194
2014-04-22,211.03508895
2014-04-23,943.42935722
2014-04-24,-144.36224473
2014-04-25,79.77972315
2014-04-26,-313.72921359
2014-04-27,-415.04689079
2014-04-28,-555.1334546
2014-04-29,1942.60002515
2014-04-30,523.69289443
2014-05-01,151.20798104
2014-05-02,215.66460687
2014-05-03,-205.36678177
2014-05-04,616.26862886
2014-05-05,545.62954364
2014-05-06,80.66699589
2014-05-07,129.09469324
2014-05-08,34.9657921
2014-05-09,135.58979226
2014-05-10,-165.39039608
2014-05-11,395.7121651
2014-05-12,90.54016996
2014-05-13,413.44500604
2014-05-14,389.84056981
2014-05-15,1172.07513568
2014-05-16,907.56073351
2014-05-17,92.6086981
2014-05-18,387.2203544
2014-05-19,412.01794882
2014-05-20,546.89601363
2014-05-21,109.14827905
2014-05-22,-4.48262087
2014-05-23,450.74698964
2014-05-24,777.01237379
2014-05-25,282.01410214
2014-05-26,-517.15814321
2014-05-27,44.07137773
2014-05-28,1039.15088455
2014-05-29,487.0467706
2014-05-30,239.05307483
2014-05-31,169.40358014
2014-06-01,900.47604468
2014-06-02,2061.85916131
2014-06-03,-844.50975032
2014-06-04,345.09182315
2014-06-05,865.19742325
2014-06-06,317.50527398
2014-06-07,91.92520358
2014-06-08,-49.44028415
2014-06-09,159.19927535
2014-06-10,27159.98667004
2014-06-11,66374.90750487
2014-06-12,68796.4186277
2014-06-13,255.38418852
2014-06-14,-621.06660079
2014-06-15,664.33252973
2014-06-16,566.49619975
2014-06-17,-219.56614051
2014-06-18,258.65349812
2014-06-19,-33.42037432
2014-06-20,132.79789405
2014-06-21,109.82610397
2014-06-22,455.33738858
2014-06-23,911.03717692
2014-06-24,750.9281553
2014-06-25,554.80895956
2014-06-26,-275.80854922
2014-06-27,453.23344531
2014-06-28,-42.78462322
2014-06-29,256.65564197
2014-06-30,4780.01853198
2014-07-01,320.51770205
2014-07-02,1077.86337732
2014-07-03,1251.9533946
2014-07-04,2574.89171986
2014-07-05,166.84010898
2014-07-06,428.68798559
2014-07-07,1161.86774731
2014-07-08,419.4701583
2014-07-09,19.20996382
2014-07-10,153.95168561
2014-07-11,87.15006229
2014-07-12,1151.91189067
2014-07-13,321.29397044
2014-07-14,1486.65451753
2014-07-15,820.50602522
2014-07-16,4126.42088193
2014-07-17,578.65493578
2014-07-18,418.60780128
2014-07-19,1.90167866
2014-07-20,-555.92382908
2014-07-21,1688.48296326
2014-07-22,646.20421459
2014-07-23,-1258.6808732
2014-07-24,321.40650314
2014-07-25,598.34275499
2014-07-26,1029.58537249
2014-07-27,106.04261172
2014-07-28,1724.8839405
2014-07-29,979.04279008
2014-07-30,1099.97969788
2014-07-31,777.67950486
2014-08-01,-48.88745672
2014-08-02,-398.20229338
2014-08-03,-288.89873514
2014-08-04,-1398.04238104
2014-08-05,46.04636886
2014-08-06,-895.34008613
2014-08-07,1049.17859372
2014-08-08,198.8057438
2014-08-09,406.09916259
2014-08-10,-12.61623711
2014-08-11,208.70092958
2014-08-12,929.22882437
2014-08-13,3004.51915176
2014-08-14,4287.61296858
2014-08-15,567.68377621
2014-08-16,2152.26635399
2014-08-17,923.75520763
2014-08-18,2952.19378821
2014-08-19,234.89754634
2014-08-20,322.51448841
2014-08-21,573.17787651
2014-08-22,1734.8633565
2014-08-23,650.15470185
2014-08-24,126.74483262
2014-08-25,-140.70053632
2014-08-26,330.3822317
2014-08-27,-14.90277672
2014-08-28,965.56320673
2014-08-29,1575.64692113
2014-08-30,4336.47328086
2014-08-31,1179.10919686
2014-09-01,2646.16578433
2014-09-02,-524.72751578
2014-09-03,129.8764947
2014-09-04,319.51287354
2014-09-05,445.13330491
2014-09-06,479.19666937
2014-09-07,619.09824786
2014-09-08,721.04370361
2014-09-09,691.54377728
2014-09-10,-186.79022539
2014-09-11,2399.61466924
2014-09-12,1224.28310192
2014-09-13,-389.04129772
2014-09-14,746.08350079
2014-09-15,-852.14227393
2014-09-16,-644.12259421
2014-09-17,-373.24988163
2014-09-18,911.17695782
2014-09-19,2944.47181903
2014-09-20,1361.00977046
2014-09-21,491.88068474
2014-09-22,1425.30472566
2014-09-23,2891.74031343
2014-09-24,2440.5084413
2014-09-25,-1075.28827237
2014-09-26,-658.10523528
2014-09-27,-344.13122087
2014-09-28,-609.91817774
2014-09-29,201.24122293
2014-09-30,-482.7372494
2014-10-01,520.40203497
2014-10-02,2295.97463154
2014-10-03,3234.66771296
2014-10-04,3717.85993109
2014-10-05,4241.85231194
2014-10-06,-4684.28684465
2014-10-07,2172.7619563
2014-10-08,3049.39628743
2014-10-09,1998.36778406
2014-10-10,2037.76239765
2014-10-11,-1270.00528429
2014-10-12,1427.03016063
2014-10-13,-829.10523707
2014-10-14,-525.11274994
2014-10-15,-219.60494134
2014-10-16,-415.27366445
2014-10-17,-501.39327562
2014-10-18,-58.57662467
2014-10-19,-1874.84065975
2014-10-20,712.69725636
2014-10-21,437.21366416
2014-10-22,54856.19544538
2014-10-23,-50.40855469
2014-10-24,-462.72706619
2014-10-25,4828.60036299
2014-10-26,321.44326569
2014-10-27,902.4128184
2014-10-28,71.68162465
2014-10-29,-103.21625564
2014-10-30,1079.9207255
2014-10-31,1256.71503567
2014-11-01,1033.81679013
2014-11-02,-134.56585343
2014-11-03,330.42164268
2014-11-04,201.16911052
2014-11-05,-2897.88279249
2014-11-06,10681.85862446
2014-11-07,5802.33633303
2014-11-08,-558.08162996
2014-11-09,2587.91931876
2014-11-10,6935.85972178
2014-11-11,1304.64260007
2014-11-12,-706.44733644
2014-11-13,-10936.46302387
2014-11-14,7672.88855062
2014-11-15,1908.51026127
2014-11-16,108.98280681
2014-11-17,313.64877022
2014-11-18,1488.03448548
2014-11-19,2686.04507575
2014-11-20,3021.89821817
2014-11-21,-1640.90194071
2014-11-22,114.60291571
2014-11-23,837.58432445
2014-11-24,1793.50316029
2014-11-25,-2189.81807526
2014-11-26,876.60119125
2014-11-27,219.76400245
2014-11-28,166.12258436
2014-11-29,423.56042896
2014-11-30,946.02525775
2014-12-01,-279.95962488
2014-12-02,2489.22400077
2014-12-03,779.77656016
2014-12-04,-848.66640791
2014-12-05,5585.08672025
2014-12-06,303.81151304
2014-12-07,1097.70407494
2014-12-08,9820.94453892
2014-12-09,-632.62626095
2014-12-10,620.08804654
2014-12-11,-1148.55116346
2014-12-12,-1039.84206492
2014-12-13,1163.52666636
2014-12-14,-403.44176301
2014-12-15,785.33747903
2014-12-16,1233.4862889
2014-12-17,228.19338107
2014-12-18,1131.46794471
2014-12-19,298.3980598
2014-12-20,1628.39520604
2014-12-21,457.66180827
2014-12-22,333.10702708
2014-12-23,1357.31818813
2014-12-24,5262.60383462
2014-12-25,222.35448506
2014-12-26,2692.3582225
2014-12-27,251.92655883
2014-12-28,62.19086709
2014-12-29,-9619.59839789
2014-12-30,-344.93816051
2014-12-31,-2926.3785495
2015-01-01,295.23094221
2015-01-02,737.25425601
2015-01-03,854.09543853
2015-01-04,1086.2258746
2015-01-05,-199.17614603
2015-01-06,-992.22434711
2015-01-07,-538.17389374
2015-01-08,-563.239789
2015-01-09,20450.51295694
2015-01-10,-6962.66457175
2015-01-11,-2639.71807955
2015-01-12,1313.5184542
2015-01-13,1787.83755776
2015-01-14,-236.084726
2015-01-15,-771.89266488
2015-01-16,-6635.34102791
2015-01-17,-1972.36053372
2015-01-18,3206.09903032
2015-01-19,1080.85557685
2015-01-20,2463.58625967
2015-01-21,184590.29045415
2015-01-22,1456.83199097
2015-01-23,-10836.10029178
2015-01-24,-4780.6191317
2015-01-25,2159.01784616
2015-01-26,-6566.75423688
2015-01-27,-5461.51709879
