date,realizedLossUsd
2023-02-14,91141752.3
2023-02-15,111108541.53
2023-02-16,96928839.87
2023-02-17,150904361.13
2023-02-18,42494577.69
2023-02-19,54047348.55
2023-02-20,57892535.75
2023-02-21,102740753.29
2023-02-22,261662630.78
2023-02-23,75127840.48
2023-02-24,272396144.37
2023-02-25,161756585.16
2023-02-26,51117025.95
2023-02-27,249291642.1
2023-02-28,447466258.26
2023-03-01,385240078.77
2023-03-02,124542776.65
2023-03-03,218661451.22
2023-03-04,84771810.15
2023-03-05,295446175.47
2023-03-06,165628162.23
2023-03-07,1356789117.24
2023-03-08,156956230.53
2023-03-09,302760018.71
2023-03-10,276775204.87
2023-03-11,250790391.03
2023-03-12,224805577.18
2023-03-13,198820763.34
2023-03-14,172835949.5
2023-03-15,146851135.66
2023-03-16,120866321.82
2023-03-17,94881507.98
2023-03-18,52493339.8
2023-03-19,79401461.32
2023-03-20,127402737.66
2023-03-21,81780047.24
2023-03-22,167486785.86
2023-03-23,112429574.93
2023-03-24,132048789.63
2023-03-25,135762618.02
2023-03-26,139476446.41
2023-03-27,143190274.8
2023-03-28,137367731.98
2023-03-29,51096501.88
2023-03-30,6135737029.16
2023-03-31,144009210.77
2023-04-01,32661856.27
2023-04-02,36211422.74
2023-04-03,106932543.37
2023-04-04,175804215.62
2023-04-05,179992679.75
2023-04-06,184181143.89
2023-04-07,188369608.02
2023-04-08,21197416.17
2023-04-09,91286216.78
2023-04-10,161375017.4
2023-04-11,231463818.01
2023-04-12,188813238.48
2023-04-13,146162658.95
2023-04-14,103512079.43
2023-04-15,110586896.3
2023-04-16,117661713.18
2023-04-17,124736530.06
2023-04-18,131811346.94
2023-04-19,138886163.82
2023-04-20,167432692.64
2023-04-21,195979221.47
2023-04-22,90330526.56
2023-04-23,48143716.19
2023-04-24,106099769.1
2023-04-25,164055822.0
2023-04-26,130725007.82
2023-04-27,81846539.34
2023-04-28,48495488.32
2023-04-29,46883851.12
2023-04-30,39181181.58
2023-05-01,165213836.49
2023-05-02,104517119.09
2023-05-03,103214097.29
2023-05-04,78138106.61
2023-05-05,53062115.93
2023-05-06,104236085.05
2023-05-07,155410054.16
2023-05-08,206584023.28
2023-05-09,150798064.53
2023-05-10,161720086.06
2023-05-11,218802550.19
2023-05-12,246093204.78
2023-05-13,57465718.77
2023-05-14,69441008.8
2023-05-15,80766248.59
2023-05-16,108961015.02
2023-05-17,115860152.24
2023-05-18,122759289.46
2023-05-19,156071441.68
2023-05-20,35229364.74
2023-05-21,62115081.38
2023-05-22,120520658.52
2023-05-23,88551663.14
2023-05-24,176023361.79
2023-05-25,307207515.97
2023-05-26,124003577.71
2023-05-27,39540602.67
2023-05-28,25274098.96
2023-05-29,96898555.9
2023-05-30,74838243.3
2023-05-31,164497132.67
2023-06-01,123205588.83
2023-06-02,85555466.45
2023-06-03,69176657.03
2023-06-04,52797847.62
2023-06-05,280856144.03
2023-06-06,181065011.63
2023-06-07,116998758.25
2023-06-08,111922443.37
2023-06-09,61567674.4
2023-06-10,208221819.19
2023-06-11,93619130.96
2023-06-12,172287062.53
2023-06-13,174893270.52
2023-06-14,161274960.4
2023-06-15,287956619.3
2023-06-16,135943940.64
2023-06-17,70678785.26
2023-06-18,70787081.47
2023-06-19,365621054.3
2023-06-20,348180873.2
2023-06-21,211858295.21
2023-06-22,75535717.22
2023-06-23,207426378.29
2023-06-24,35277053.64
2023-06-25,42444382.79
2023-06-26,76956252.96
2023-06-27,78652629.76
2023-06-28,80349006.55
2023-06-29,352197475.2
2023-06-30,82389830.24
2023-07-01,30954453.64
2023-07-02,20599463.94
2023-07-03,42797503.74
2023-07-04,47416680.2
2023-07-05,82349239.81
2023-07-06,766927090.73
2023-07-07,87327362.79
2023-07-08,22292973.13
2023-07-09,24403726.04
2023-07-10,103528012.57
2023-07-11,43065860.98
2023-07-12,73475338.96
2023-07-13,267973999.96
2023-07-14,120739641.66
2023-07-15,56180526.03
2023-07-16,28493533.58
2023-07-17,216191836.13
2023-07-18,105656485.38
2023-07-19,94702131.24
2023-07-20,83747777.1
2023-07-21,258896708.15
2023-07-22,221062644.89
2023-07-23,183228581.62
2023-07-24,145394518.35
2023-07-25,107560455.08
2023-07-26,69726391.82
2023-07-27,477968350.84
2023-07-28,1374783583.85
2023-07-29,27572279.94
2023-07-30,69124283.43
2023-07-31,110676286.92
2023-08-01,98174874.47
2023-08-02,231068679.31
2023-08-03,55932660.58
2023-08-04,71222735.5
2023-08-05,30592760.51
2023-08-06,19997421.62
2023-08-07,91198909.72
2023-08-08,116999665.48
2023-08-09,56803477.92
2023-08-10,86586193.97
2023-08-11,36565044.17
2023-08-12,20156427.14
2023-08-13,17273076.92
2023-08-14,94268149.07
2023-08-15,58013380.74
2023-08-16,83859935.31
2023-08-17,301945301.52
2023-08-18,502555410.4
2023-08-19,98983606.52
2023-08-20,125254339.41
2023-08-21,151525072.3
2023-08-22,177795805.2
2023-08-23,204066538.09
2023-08-24,230337270.98
2023-08-25,216195200.84
2023-08-26,63507221.87
2023-08-27,39844257.07
2023-08-28,142447112.34
2023-08-29,449852118.04
2023-08-30,124016657.51
2023-08-31,165350497.1
2023-09-01,230468004.38
2023-09-02,57998442.15
2023-09-03,64536845.96
2023-09-04,88403229.29
2023-09-05,160204529.72
2023-09-06,141792891.27
2023-09-07,107176702.34
2023-09-08,86300151.04
2023-09-09,74828207.56
2023-09-10,39011850.86
2023-09-11,176036234.16
2023-09-12,135942388.48
2023-09-13,65839077.96
2023-09-14,49694508.71
2023-09-15,56502112.03
2023-09-16,37567973.69
2023-09-17,22908505.79
2023-09-18,54635017.6
2023-09-19,63659753.53
2023-09-20,137020508.65
2023-09-21,89157838.06
2023-09-22,56066591.97
2023-09-23,36724953.23
2023-09-24,32243418.2
2023-09-25,113237389.79
2023-09-26,80714096.19
2023-09-27,96082421.53
2023-09-28,89057507.5
2023-09-29,82900316.01
2023-09-30,26482971.27
2023-10-01,42365543.55
2023-10-02,195594393.52
2023-10-03,99362567.31
2023-10-04,73882411.2
2023-10-05,119784705.46
2023-10-06,68668912.6
2023-10-07,56178493.44
2023-10-08,19017560.91
2023-10-09,120566761.2
2023-10-10,91619026.08
2023-10-11,178492732.66
2023-10-12,132815409.35
2023-10-13,78570774.26
2023-10-14,99748179.53
2023-10-15,21784661.79
2023-10-16,61505479.2
2023-10-17,90052154.32
2023-10-18,58936295.42
2023-10-19,322579032.96
2023-10-20,97750726.42
2023-10-21,24034191.14
2023-10-22,32199512.33
2023-10-23,85999557.23
2023-10-24,137625046.05
2023-10-25,76710850.09
2023-10-26,73933974.93
2023-10-27,93971612.85
2023-10-28,34700275.91
2023-10-29,19356695.42
2023-10-30,64535915.98
2023-10-31,55963279.05
2023-11-01,39568004.14
2023-11-02,59430742.61
2023-11-03,76327364.12
2023-11-04,18643918.07
2023-11-05,30495584.42
2023-11-06,32249285.39
2023-11-07,39654909.45
2023-11-08,28786462.12
2023-11-09,136260610.67
2023-11-10,39109018.7
2023-11-11,41275099.15
2023-11-12,27157843.96
2023-11-13,50770476.64
2023-11-14,150229583.35
2023-11-15,136291077.13
2023-11-16,115761248.16
2023-11-17,101343644.16
2023-11-18,18951896.02
2023-11-19,31769700.52
2023-11-20,38238754.0
2023-11-21,98575908.21
2023-11-22,141067477.46
2023-11-23,38665954.29
2023-11-24,47226528.29
2023-11-25,17661563.29
2023-11-26,31695904.52
2023-11-27,85737532.61
2023-11-28,47851126.64
2023-11-29,57178064.37
2023-11-30,299891186.85
2023-12-01,34042828.79
2023-12-02,13893313.73
2023-12-03,22032979.9
2023-12-04,63501990.17
2023-12-05,47617342.58
2023-12-06,74796781.07
2023-12-07,82046179.15
2023-12-08,60824566.48
2023-12-09,31340507.4
2023-12-10,30984924.11
2023-12-11,347631910.38
2023-12-12,187166547.64
2023-12-13,95655217.61
2023-12-14,64052128.96
2023-12-15,100740149.0
2023-12-16,64531861.84
2023-12-17,65475163.65
2023-12-18,166398001.86
2023-12-19,71091680.52
2023-12-20,63411699.82
2023-12-21,53877833.27
2023-12-22,45786922.13
2023-12-23,25483255.05
2023-12-24,30628120.28
2023-12-25,53825335.43
2023-12-26,145428408.95
2023-12-27,85693857.22
2023-12-28,102582986.86
2023-12-29,260893087.42
2023-12-30,71380063.64
2023-12-31,50552344.83
2024-01-01,22254470.8
2024-01-02,54234206.75
2024-01-03,218637002.22
2024-01-04,94786033.34
2024-01-05,101826510.09
2024-01-06,38679152.82
2024-01-07,22599821.23
2024-01-08,62928800.37
2024-01-09,102468069.14
2024-01-10,166910563.84
2024-01-11,132859049.28
2024-01-12,465389724.57
2024-01-13,171619997.5
2024-01-14,110845152.29
2024-01-15,216640496.2
2024-01-16,166145243.68
2024-01-17,169599480.23
2024-01-18,263237348.45
2024-01-19,232997428.76
2024-01-20,67839584.58
2024-01-21,33264197.16
2024-01-22,343245250.79
2024-01-23,433521863.55
2024-01-24,340789345.17
2024-01-25,154589885.42
2024-01-26,168930210.44
2024-01-27,33800451.79
2024-01-28,31659467.3
2024-01-29,103709746.15
2024-01-30,92521894.57
2024-01-31,176698749.08
2024-02-01,176871618.77
2024-02-02,86509838.85
2024-02-03,19886777.86
2024-02-04,51664687.57
2024-02-05,112223126.82
2024-02-06,95785945.22
2024-02-07,44243328.44
2024-02-08,27032555.67
2024-02-09,64063346.17
2024-02-10,28196760.31
2024-02-11,19823078.71
2024-02-12,63620210.92
2024-02-13,140509875.99
2024-02-14,56812198.02
2024-02-15,67669889.54
2024-02-16,61615741.38
2024-02-17,53243524.89
2024-02-18,28622297.02
2024-02-19,28304233.31
2024-02-20,105113762.54
2024-02-21,165421039.81
2024-02-22,77897744.51
2024-02-23,100472811.08
2024-02-24,50604340.75
2024-02-25,13741773.87
2024-02-26,53983859.78
2024-02-27,62670138.22
2024-02-28,139884783.52
2024-02-29,189600104.01
2024-03-01,107469565.22
2024-03-02,34701094.32
2024-03-03,46583423.48
2024-03-04,40941591.29
2024-03-05,567373058.2
2024-03-06,236694405.73
2024-03-07,75252431.56
2024-03-08,90859693.25
2024-03-09,20231737.19
2024-03-10,38134275.89
2024-03-11,88780331.62
2024-03-12,218061434.64
2024-03-13,66518010.66
2024-03-14,294002327.72
2024-03-15,814353887.93
2024-03-16,194697728.18
2024-03-17,275612507.42
2024-03-18,351612977.6
2024-03-19,1221754377.67
2024-03-20,681969785.88
2024-03-21,237452926.69
2024-03-22,363333924.42
2024-03-23,117680048.04
2024-03-24,61396690.15
2024-03-25,81032614.25
2024-03-26,588620257.2
2024-03-27,174784457.56
