date,nrplBtc
2012-01-29,1397.8534298
2012-01-30,1219.7215295
2012-01-31,1191.8262678
2012-02-01,711.7058493
2012-02-02,680.0294335
2012-02-03,651.2126237
2012-02-04,749.7235473
2012-02-05,739.7037942
2012-02-06,387.6170607
2012-02-07,442.8218443
2012-02-08,456.4111793
2012-02-09,336.1229786
2012-02-10,582.1800365
2012-02-11,2529.1976124
2012-02-12,2376.3039795
2012-02-13,-2157.1658754
2012-02-14,-685.767301
2012-02-15,-490.0142716
2012-02-16,-203.5427173
2012-02-17,-156.998991
2012-02-18,207.7245822
2012-02-19,-70.2142291
2012-02-20,-15.0061323
2012-02-21,-44.7727447
2012-02-22,-745.8421501
2012-02-23,-801.5569211
2012-02-24,-2421.5046898
2012-02-25,-2099.3607573
2012-02-26,-2034.5274014
2012-02-27,-1777.0910589
2012-02-28,-1435.0352419
2012-02-29,131.272193
2012-03-01,-8.6189373
2012-03-02,-43.4219227
2012-03-03,-2773.255054
2012-03-04,-2394.9819895
2012-03-05,-2511.5325584
2012-03-06,-2303.7239046
2012-03-07,-2159.3063575
2012-03-08,-1915.9607836
2012-03-09,-1626.8198406
2012-03-10,-2397.190901
2012-03-11,-4494.7047346
2012-03-12,-4110.6707108
2012-03-13,-5245.5837268
2012-03-14,-4696.7821765
2012-03-15,-4216.0001138
2012-03-16,-3579.5663295
2012-03-17,-3287.5834283
2012-03-18,-2704.8611969
2012-03-19,-2411.6215919
2012-03-20,-2656.7952571
2012-03-21,-3395.3239833
2012-03-22,-2989.0815793
2012-03-23,-2467.916598
2012-03-24,-2421.3899212
2012-03-25,-2421.1568353
2012-03-26,-2225.0131826
2012-03-27,-2107.1692246
2012-03-28,-2390.3240502
2012-03-29,-2066.7403389
2012-03-30,1496.8424751
2012-03-31,1013.2397232
2012-04-01,605.3977473
2012-04-02,375.3279002
2012-04-03,1015.9431703
2012-04-04,527.2382136
2012-04-05,518.0396096
2012-04-06,671.8442393
2012-04-07,360.1278468
2012-04-08,306.1016201
2012-04-09,105.7825229
2012-04-10,25.394292
2012-04-11,353.2084257
2012-04-12,884.5589786
2012-04-13,738.4678605
2012-04-14,582.6498629
2012-04-15,682.8736179
2012-04-16,790.8654409
2012-04-17,648.6428167
2012-04-18,434.9508864
2012-04-19,234.5286934
2012-04-20,149.7554797
2012-04-21,151.1152746
2012-04-22,292.6616969
2012-04-23,269.4555751
2012-04-24,-157.8381197
2012-04-25,35.5980695
2012-04-26,227.6256223
2012-04-27,79.7399677
2012-04-28,-74.0334119
2012-04-29,-70.2029201
2012-04-30,-1789.7861281
2012-05-01,-1595.6153277
2012-05-02,-1435.7514243
2012-05-03,-1367.2508282
2012-05-04,-1239.3883385
2012-05-05,-1151.7525295
2012-05-06,-728.2589574
2012-05-07,-719.185518
2012-05-08,-604.5442033
2012-05-09,-466.2572672
2012-05-10,-803.7400458
2012-05-11,-893.332376
2012-05-12,2287.5854496
2012-05-13,2136.4394067
2012-05-14,2689.256551
2012-05-15,2223.3610675
2012-05-16,2184.2949524
2012-05-17,587.7264756
2012-05-18,543.8765306
2012-05-19,381.9727265
2012-05-20,264.4110524
2012-05-21,183.0189442
2012-05-22,407.1124117
2012-05-23,196.5918589
2012-05-24,215.0405804
2012-05-25,105.0912236
2012-05-26,365.9354959
2012-05-27,228.9188817
2012-05-28,51.6742583
2012-05-29,-263.1751406
2012-05-30,-304.8249888
2012-05-31,-15329.4646713
2012-06-01,-13602.9799605
2012-06-02,-11901.6737737
2012-06-03,-10503.9052469
2012-06-04,-9235.6961941
2012-06-05,-8566.8171215
2012-06-06,-7592.1565586
2012-06-07,-6938.9473354
2012-06-08,-6119.6521206
2012-06-09,-5420.4654895
2012-06-10,-4762.1351319
2012-06-11,-4347.287908
2012-06-12,-3850.0443988
2012-06-13,-3443.0688347
2012-06-14,-2897.7251737
2012-06-15,-2672.941638
2012-06-16,-2414.1839246
2012-06-17,-2065.8067825
2012-06-18,-2091.5678879
2012-06-19,287.8016532
2012-06-20,4063.1382938
2012-06-21,5695.0435085
2012-06-22,7255.1900965
